student_id,week,policy,is_treatment_week,analysis_keep,ai_asgn_score,gemini_asgn_score,asgn_score,combined_asgn_score,combined_gemini_asgn_score,combined_all_asgn_score,min_asgn_score,max_asgn_score,ai_memo_score,gemini_memo_score,memo_score,combined_memo_score,combined_gemini_memo_score,combined_all_memo_score,min_memo_score,max_memo_score
student_003,9,NOVELTY_BIASED,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,7.2,7,9,8.1,8,7.733333333333333,7.2,9
student_006,1,DEFAULT,FALSE,TRUE,8.89,9.44,10,9.445,9.72,9.443333333333332,8.89,10,NA,NA,NA,NA,NA,NA,NA,NA
student_006,2,RELIABILITY_BIASED,TRUE,TRUE,4.72,7.64,8,6.359999999999999,7.82,6.786666666666666,4.72,8,7.7,7.5,9.5,8.6,8.5,8.233333333333333,7.7,9.5
student_006,3,DEFAULT,FALSE,TRUE,6.93,9.38,7.5,7.215,8.440000000000001,7.936666666666667,6.93,7.5,6,6.5,10,8,8.25,7.5,6,10
student_006,4,DEFAULT,FALSE,TRUE,8.75,9.79,8.5,8.625,9.145,9.013333333333334,8.5,8.75,8.1,9,9,8.55,9,8.700000000000001,8.1,9
student_006,5,DEFAULT,FALSE,TRUE,8.61,10,7.5,8.055,8.75,8.703333333333333,7.5,8.61,8.3,8,8,8.15,8,8.1,8,8.3
student_006,6,DEFAULT,FALSE,TRUE,8.12,10,8.5,8.309999999999999,9.25,8.873333333333333,8.12,8.5,7.6,8,9.4,8.5,8.7,8.333333333333334,7.6,9.4
student_006,7,QUESTIONING_ORIENTED,TRUE,TRUE,8.34,8.61,7,7.67,7.805,7.983333333333333,7,8.34,7,9,9.2,8.1,9.1,8.4,7,9.2
student_006,8,DEFAULT,FALSE,TRUE,NA,NA,0,NA,NA,NA,NA,NA,8.3,7.5,9,8.65,8.25,8.266666666666667,8.3,9
student_006,9,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,8,8.5,8.5,8.25,8.5,8.333333333333334,8,8.5
student_007,1,DEFAULT,FALSE,TRUE,9.72,7.78,9,9.36,8.39,8.833333333333334,9,9.72,NA,NA,NA,NA,NA,NA,NA,NA
student_007,2,DEFAULT,FALSE,TRUE,6.39,6.25,9.5,7.945,7.875,7.38,6.39,9.5,4.7,6,7.5,6.1,6.75,6.066666666666666,4.7,7.5
student_007,3,NEUTRAL,TRUE,TRUE,8.28,9.69,10,9.14,9.845,9.323333333333332,8.28,10,6.9,9,10,8.45,9.5,8.633333333333333,6.9,10
student_007,4,DEFAULT,FALSE,TRUE,9.46,10,10,9.73,10,9.82,9.46,10,7.1,7,10,8.55,8.5,8.033333333333333,7.1,10
student_007,5,DEFAULT,FALSE,TRUE,9.31,10,9,9.155,9.5,9.436666666666667,9,9.31,5.8,8,8,6.9,8,7.266666666666667,5.8,8
student_007,6,DEFAULT,FALSE,TRUE,10,10,10,10,10,10,10,10,6,6,9.4,7.7,7.7,7.133333333333333,6,9.4
student_007,7,DEFAULT,FALSE,TRUE,8.89,10,10,9.445,10,9.63,8.89,10,7.3,8,10,8.65,9,8.433333333333334,7.3,10
student_007,8,DEFAULT,FALSE,TRUE,9.59,10,10,9.795,10,9.863333333333332,9.59,10,4.9,7.5,9,6.95,8.25,7.133333333333333,4.9,9
student_007,9,NOVELTY_BIASED,TRUE,TRUE,8.6,10,10,9.3,10,9.533333333333331,8.6,10,7,7,8,7.5,7.5,7.333333333333333,7,8
student_012,1,DEFAULT,FALSE,TRUE,8.89,10,9,8.945,9.5,9.296666666666669,8.89,9,NA,NA,NA,NA,NA,NA,NA,NA
student_012,2,NOVELTY_BIASED,TRUE,TRUE,9.1,9.79,10,9.55,9.895,9.63,9.1,10,7.2,7,9.4,8.3,8.2,7.866666666666667,7.2,9.4
student_012,3,DEFAULT,FALSE,TRUE,8.96,9.38,10,9.48,9.69,9.446666666666667,8.96,10,7.1,7,10,8.55,8.5,8.033333333333333,7.1,10
student_012,4,DEFAULT,FALSE,TRUE,7.17,7.5,10,8.585,8.75,8.223333333333334,7.17,10,7.7,7,9.6,8.65,8.3,8.1,7.7,9.6
student_012,5,DEFAULT,FALSE,TRUE,8.61,9.31,9,8.805,9.155,8.973333333333334,8.61,9,8.2,8,8.5,8.35,8.25,8.233333333333333,8.2,8.5
student_012,6,DEFAULT,FALSE,TRUE,6.88,7.5,10,8.44,8.75,8.126666666666667,6.88,10,6.4,5,8,7.2,6.5,6.466666666666666,6.4,8
student_012,7,DEFAULT,FALSE,TRUE,6.39,8.06,9,7.695,8.530000000000001,7.816666666666667,6.39,9,7,6,8.2,7.6,7.1,7.066666666666666,7,8.2
student_012,8,DEFAULT,FALSE,TRUE,NA,NA,8,8,8,8,8,8,6.4,6.5,8,7.2,7.25,6.966666666666666,6.4,8
student_012,9,QUESTIONING_ORIENTED,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,7.4,8.5,8.5,7.95,8.5,8.133333333333333,7.4,8.5
student_013,1,DEFAULT,FALSE,TRUE,8.61,8.61,10,9.305,9.305,9.073333333333332,8.61,10,NA,NA,NA,NA,NA,NA,NA,NA
student_013,2,DEFAULT,FALSE,TRUE,7.01,8.82,10,8.504999999999999,9.41,8.61,7.01,10,6,5,8.6,7.3,6.8,6.533333333333334,6,8.6
student_013,3,DEFAULT,FALSE,TRUE,7.24,7.5,7.5,7.37,7.5,7.413333333333334,7.24,7.5,7.9,7,9,8.45,8,7.966666666666666,7.9,9
student_013,4,DEFAULT,FALSE,TRUE,9.58,10,10,9.79,10,9.86,9.58,10,8.6,7,9.8,9.2,8.4,8.466666666666667,8.6,9.8
student_013,5,NEUTRAL,TRUE,TRUE,8.75,9.17,9,8.875,9.085,8.973333333333334,8.75,9,6.1,6.5,8.5,7.3,7.5,7.033333333333334,6.1,8.5
student_013,6,DEFAULT,FALSE,TRUE,9.38,10,7.5,8.440000000000001,8.75,8.96,7.5,9.38,7.6,9,9,8.3,9,8.533333333333333,7.6,9
student_013,7,NOVELTY_BIASED,TRUE,TRUE,6.39,6.67,10,8.195,8.335,7.686666666666667,6.39,10,7.4,8,9.4,8.4,8.7,8.266666666666667,7.4,9.4
student_013,8,DEFAULT,FALSE,TRUE,8.75,6.25,9,8.875,7.625,8,8.75,9,5.8,6,9,7.4,7.5,6.933333333333334,5.8,9
student_013,9,DEFAULT,FALSE,TRUE,9.38,10,10,9.69,10,9.793333333333337,9.38,10,6.5,6,9,7.75,7.5,7.166666666666667,6.5,9
student_015,1,DEFAULT,FALSE,TRUE,9.45,10,10,9.725,10,9.816666666666666,9.45,10,NA,NA,NA,NA,NA,NA,NA,NA
student_015,2,DEFAULT,FALSE,TRUE,7.5,10,10,8.75,10,9.166666666666666,7.5,10,7.4,9,9.7,8.55,9.35,8.700000000000001,7.4,9.7
student_015,3,NOVELTY_BIASED,TRUE,TRUE,8.65,9.38,9,8.825,9.19,9.01,8.65,9,7,8.5,10,8.5,9.25,8.5,7,10
student_015,4,DEFAULT,FALSE,TRUE,10,10,9.5,9.75,9.75,9.833333333333334,9.5,10,6.5,8,9.4,7.95,8.7,7.966666666666666,6.5,9.4
student_015,5,DEFAULT,FALSE,TRUE,9.52,10,9.5,9.51,9.75,9.673333333333334,9.5,9.52,7.7,10,9,8.35,9.5,8.9,7.7,9
student_015,6,RELIABILITY_BIASED,TRUE,TRUE,10,10,9.5,9.75,9.75,9.833333333333334,9.5,10,6.9,8,9.3,8.100000000000001,8.65,8.066666666666668,6.9,9.3
student_015,7,DEFAULT,FALSE,TRUE,10,10,10,10,10,10,10,10,7.6,7.5,9.8,8.7,8.65,8.299999999999999,7.6,9.8
student_015,8,DEFAULT,FALSE,TRUE,10,10,10,10,10,10,10,10,7.6,9,10,8.8,9.5,8.866666666666667,7.6,10
student_015,9,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,8.2,8.5,9,8.6,8.75,8.566666666666666,8.2,9
student_016,1,DEFAULT,FALSE,TRUE,8.61,10,10,9.305,10,9.536666666666669,8.61,10,NA,NA,NA,NA,NA,NA,NA,NA
student_016,2,DEFAULT,FALSE,TRUE,6.53,9.17,9,7.765000000000001,9.085,8.233333333333334,6.53,9,6,7,8,7,7.5,7,6,8
student_016,3,RELIABILITY_BIASED,TRUE,TRUE,7.66,8.44,10,8.83,9.22,8.700000000000001,7.66,10,6.6,5,10,8.3,7.5,7.2,6.6,10
student_016,4,DEFAULT,FALSE,TRUE,9.08,7.87,9,9.04,8.435,8.65,9,9.08,8,8.5,10,9,9.25,8.833333333333334,8,10
student_016,5,NEUTRAL,TRUE,TRUE,9.17,10,9.5,9.335,9.75,9.556666666666668,9.17,9.5,7.8,9,9,8.4,9,8.6,7.8,9
student_016,6,DEFAULT,FALSE,TRUE,8.75,10,10,9.375,10,9.583333333333334,8.75,10,7.8,10,9.9,8.85,9.95,9.233333333333333,7.8,9.9
student_016,7,DEFAULT,FALSE,TRUE,NA,NA,0,NA,NA,NA,NA,NA,7.7,8,9.8,8.75,8.9,8.5,7.7,9.8
student_016,8,DEFAULT,FALSE,TRUE,NA,NA,0,NA,NA,NA,NA,NA,7.7,9,6,6.85,7.5,7.566666666666666,6,7.7
student_016,9,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,8.5,9.5,10,9.25,9.75,9.333333333333334,8.5,10
student_017,1,DEFAULT,FALSE,TRUE,9.72,10,7,8.36,8.5,8.906666666666666,7,9.72,NA,NA,NA,NA,NA,NA,NA,NA
student_017,2,DEFAULT,FALSE,TRUE,NA,5.28,6.5,6.5,5.890000000000001,5.890000000000001,6.5,6.5,7.1,6.5,9.4,8.25,7.95,7.666666666666667,7.1,9.4
student_017,3,DEFAULT,FALSE,TRUE,6.35,9.38,9.5,7.925,9.44,8.41,6.35,9.5,7.6,7,9,8.3,8,7.866666666666667,7.6,9
student_017,4,DEFAULT,FALSE,TRUE,9.21,10,10,9.605,10,9.736666666666666,9.21,10,7.8,7.5,9.6,8.7,8.55,8.299999999999999,7.8,9.6
student_017,5,RELIABILITY_BIASED,TRUE,TRUE,8.82,10,9,8.91,9.5,9.273333333333332,8.82,9,8.1,7,8.5,8.3,7.75,7.866666666666667,8.1,8.5
student_017,6,DEFAULT,FALSE,TRUE,8.44,10,7,7.72,8.5,8.479999999999999,7,8.44,7,5.5,9.7,8.35,7.6,7.4,7,9.7
student_017,7,NEUTRAL,TRUE,TRUE,9.17,9.45,10,9.585,9.725,9.54,9.17,10,6,5.5,9,7.5,7.25,6.833333333333333,6,9
student_017,8,DEFAULT,FALSE,TRUE,NA,NA,0,NA,NA,NA,NA,NA,6,5,10,8,7.5,7,6,10
student_017,9,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
student_021,1,DEFAULT,FALSE,TRUE,7.5,10,10,8.75,10,9.166666666666666,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA
student_021,2,DEFAULT,FALSE,TRUE,7.5,9.44,10,8.75,9.72,8.979999999999999,7.5,10,7,8,9.3,8.15,8.65,8.1,7,9.3
student_021,3,DEFAULT,FALSE,TRUE,6.46,7.5,10,8.23,8.75,7.986666666666667,6.46,10,7.6,8,10,8.8,9,8.533333333333333,7.6,10
student_021,4,DEFAULT,FALSE,TRUE,7.29,9.17,10,8.645,9.585,8.82,7.29,10,6.5,8,9.8,8.15,8.9,8.1,6.5,9.8
student_021,5,QUESTIONING_ORIENTED,TRUE,TRUE,8.13,8.33,9,8.565000000000001,8.665,8.486666666666666,8.13,9,7.8,8,9,8.4,8.5,8.266666666666667,7.8,9
student_021,6,DEFAULT,FALSE,TRUE,8.75,10,10,9.375,10,9.583333333333334,8.75,10,5.3,4,8.6,6.949999999999999,6.3,5.966666666666666,5.3,8.6
student_021,7,DEFAULT,FALSE,TRUE,NA,NA,0,NA,NA,NA,NA,NA,7.2,6,9.6,8.4,7.8,7.6,7.2,9.6
student_021,8,RELIABILITY_BIASED,TRUE,TRUE,NA,NA,0,NA,NA,NA,NA,NA,7,6.5,10,8.5,8.25,7.833333333333333,7,10
student_021,9,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,6.5,8,9,7.75,8.5,7.833333333333333,6.5,9
student_022,1,DEFAULT,FALSE,TRUE,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
student_022,2,NEUTRAL,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9.3,8.15,7.65,7.433333333333334,7,9.3
student_022,3,DEFAULT,FALSE,TRUE,4.01,8.12,5,4.505,6.56,5.71,4.01,5,7,7,8.5,7.75,7.75,7.5,7,8.5
student_022,4,QUESTIONING_ORIENTED,TRUE,TRUE,5.21,5.83,7,6.105,6.415,6.013333333333333,5.21,7,8,7.5,9.2,8.6,8.35,8.233333333333333,8,9.2
student_022,5,DEFAULT,FALSE,TRUE,8.19,7.5,9,8.594999999999999,8.25,8.229999999999999,8.19,9,NA,NA,NA,NA,NA,NA,NA,NA
student_022,6,DEFAULT,FALSE,TRUE,10,10,10,10,10,10,10,10,7.2,7.5,8.4,7.800000000000001,7.95,7.7,7.2,8.4
student_022,7,DEFAULT,FALSE,TRUE,7.78,9.44,10,8.89,9.72,9.073333333333332,7.78,10,7.2,9,9.8,8.5,9.4,8.666666666666666,7.2,9.8
student_022,8,DEFAULT,FALSE,TRUE,7.08,10,10,8.54,10,9.026666666666666,7.08,10,6.9,6,8,7.45,7,6.966666666666666,6.9,8
student_022,9,DEFAULT,FALSE,TRUE,8.44,10,9,8.719999999999999,9.5,9.146666666666668,8.44,9,7.2,10,8,7.6,9,8.4,7.2,8
student_023,1,DEFAULT,FALSE,TRUE,9.72,10,10,9.86,10,9.906666666666666,9.72,10,NA,NA,NA,NA,NA,NA,NA,NA
student_023,2,DEFAULT,FALSE,TRUE,7.99,10,10,8.995000000000001,10,9.33,7.99,10,7.6,9,8.9,8.25,8.95,8.5,7.6,8.9
student_023,3,QUESTIONING_ORIENTED,TRUE,TRUE,8.9,8.75,8,8.45,8.375,8.549999999999999,8,8.9,8.1,8.5,10,9.05,9.25,8.866666666666667,8.1,10
student_023,4,DEFAULT,FALSE,TRUE,9.79,10,9.5,9.645,9.75,9.763333333333334,9.5,9.79,7.6,9,9.4,8.5,9.2,8.666666666666666,7.6,9.4
student_023,5,DEFAULT,FALSE,TRUE,9.52,10,8.5,9.01,9.25,9.34,8.5,9.52,8,7,9.5,8.75,8.25,8.166666666666666,8,9.5
student_023,6,RELIABILITY_BIASED,TRUE,TRUE,8.75,10,8,8.375,9,8.916666666666666,8,8.75,8,9,9.6,8.8,9.3,8.866666666666667,8,9.6
student_023,7,DEFAULT,FALSE,TRUE,10,10,10,10,10,10,10,10,8.3,8,9.8,9.05,8.9,8.700000000000001,8.3,9.8
student_023,8,DEFAULT,FALSE,TRUE,9.38,10,10,9.69,10,9.793333333333337,9.38,10,8.2,8,9,8.6,8.5,8.4,8.2,9
student_023,9,DEFAULT,FALSE,TRUE,8.96,10,10,9.48,10,9.653333333333334,8.96,10,7.6,7.5,9.5,8.55,8.5,8.200000000000001,7.6,9.5
student_024,1,DEFAULT,FALSE,TRUE,8.75,10,9,8.875,9.5,9.25,8.75,9,NA,NA,NA,NA,NA,NA,NA,NA
student_024,2,DEFAULT,FALSE,TRUE,9.37,10,10,9.685,10,9.79,9.37,10,7.8,8.7,9.7,8.75,9.2,8.733333333333333,7.8,9.7
student_024,3,DEFAULT,FALSE,TRUE,8.86,9.38,10,9.43,9.69,9.413333333333334,8.86,10,7.9,8,10,8.95,9,8.633333333333333,7.9,10
student_024,4,DEFAULT,FALSE,TRUE,9.58,10,10,9.79,10,9.86,9.58,10,8,7,9.6,8.8,8.3,8.200000000000001,8,9.6
student_024,5,NOVELTY_BIASED,TRUE,TRUE,9.72,10,9,9.36,9.5,9.573333333333332,9,9.72,6.6,6.5,8.5,7.55,7.5,7.2,6.6,8.5
student_024,6,DEFAULT,FALSE,TRUE,9.69,10,10,9.845,10,9.896666666666668,9.69,10,8.4,10,9.7,9.05,9.85,9.366666666666667,8.4,9.7
student_024,7,DEFAULT,FALSE,TRUE,NA,NA,0,NA,NA,NA,NA,NA,8.4,9.5,9.8,9.1,9.65,9.233333333333334,8.4,9.8
student_024,8,NEUTRAL,TRUE,TRUE,NA,NA,0,NA,NA,NA,NA,NA,8,8.5,8,8,8.25,8.166666666666666,8,8
student_024,9,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,8,9,9,8.5,9,8.666666666666666,8,9
student_028,1,DEFAULT,FALSE,TRUE,6.39,6.39,9,7.695,7.695,7.260000000000001,6.39,9,NA,NA,NA,NA,NA,NA,NA,NA
student_028,2,DEFAULT,FALSE,TRUE,6.94,9.31,8,7.470000000000001,8.655000000000001,8.083333333333334,6.94,8,4.8,5,8.4,6.6,6.7,6.066666666666666,4.8,8.4
student_028,3,DEFAULT,FALSE,TRUE,4.69,6.56,7.5,6.095000000000001,7.029999999999999,6.25,4.69,7.5,6.3,6,9,7.65,7.5,7.1000000000000005,6.3,9
student_028,4,QUESTIONING_ORIENTED,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,6.4,6,8.7,7.55,7.35,7.033333333333334,6.4,8.7
student_028,5,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,5.6,4.5,7,6.3,5.75,5.7,5.6,7
student_028,6,DEFAULT,FALSE,TRUE,6.88,10,9.5,8.19,9.75,8.793333333333333,6.88,9.5,6.8,6.5,8.8,7.800000000000001,7.65,7.366666666666667,6.8,8.8
student_028,7,NOVELTY_BIASED,TRUE,TRUE,7.5,8.34,9,8.25,8.67,8.28,7.5,9,NA,NA,NA,NA,NA,NA,NA,NA
student_028,8,DEFAULT,FALSE,TRUE,5.21,7.29,9.5,7.355,8.395,7.333333333333333,5.21,9.5,6,4,6,6,5,5.333333333333333,6,6
student_028,9,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,6.7,6.5,8.5,7.6,7.5,7.233333333333333,6.7,8.5
student_031,1,DEFAULT,FALSE,TRUE,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
student_031,2,DEFAULT,FALSE,TRUE,7.57,10,8,7.785,9,8.523333333333333,7.57,8,5.2,6,9.4,7.300000000000001,7.7,6.866666666666667,5.2,9.4
student_031,3,DEFAULT,FALSE,TRUE,5.94,9.06,9,7.470000000000001,9.03,8,5.94,9,6.5,6,8,7.25,7,6.833333333333333,6.5,8
student_031,4,DEFAULT,FALSE,TRUE,7.96,9.58,9,8.48,9.29,8.846666666666666,7.96,9,7.3,7,8,7.65,7.5,7.433333333333334,7.3,8
student_031,5,QUESTIONING_ORIENTED,TRUE,TRUE,8.33,7.29,9,8.665,8.145,8.206666666666665,8.33,9,7.9,7,7.5,7.7,7.25,7.466666666666666,7.5,7.9
student_031,6,DEFAULT,FALSE,TRUE,5,10,9,7,9.5,8,5,9,7.3,6,9.4,8.35,7.7,7.566666666666666,7.3,9.4
student_031,7,DEFAULT,FALSE,TRUE,6.39,6.39,7,6.695,6.695,6.593333333333334,6.39,7,6.4,7.5,8,7.2,7.75,7.3,6.4,8
student_031,8,DEFAULT,FALSE,TRUE,8.75,10,9,8.875,9.5,9.25,8.75,9,7.7,10,3,5.35,6.5,6.8999999999999995,3,7.7
student_031,9,RELIABILITY_BIASED,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,8.4,7.5,8.5,8.45,8,8.133333333333333,8.4,8.5
student_032,1,DEFAULT,FALSE,TRUE,8.61,9.17,7,7.805,8.085,8.26,7,8.61,NA,NA,NA,NA,NA,NA,NA,NA
student_032,2,DEFAULT,FALSE,TRUE,5,8.75,9,7,8.875,7.583333333333333,5,9,6.5,8,8.8,7.65,8.4,7.766666666666667,6.5,8.8
student_032,3,DEFAULT,FALSE,TRUE,6.93,8.75,10,8.465,9.375,8.56,6.93,10,7.2,7.5,10,8.6,8.75,8.233333333333333,7.2,10
student_032,4,DEFAULT,FALSE,TRUE,7.46,10,10,8.73,10,9.153333333333334,7.46,10,6,6,9.8,7.9,7.9,7.266666666666667,6,9.8
student_032,5,DEFAULT,FALSE,TRUE,6.67,8.61,8.5,7.585,8.555,7.926666666666667,6.67,8.5,6,6.5,9.5,7.75,8,7.333333333333333,6,9.5
student_032,6,NEUTRAL,TRUE,TRUE,8.44,10,10,9.22,10,9.48,8.44,10,7.9,10,9.6,8.75,9.8,9.166666666666666,7.9,9.6
student_032,7,DEFAULT,FALSE,TRUE,9.17,10,9,9.085,9.5,9.39,9,9.17,7.1,8,10,8.55,9,8.366666666666667,7.1,10
student_032,8,DEFAULT,FALSE,TRUE,NA,NA,0,NA,NA,NA,NA,NA,7.9,9,8,7.95,8.5,8.299999999999999,7.9,8
student_032,9,NOVELTY_BIASED,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,6.6,7.5,9.5,8.05,8.5,7.866666666666667,6.6,9.5
student_033,1,DEFAULT,FALSE,TRUE,7.78,10,10,8.89,10,9.26,7.78,10,NA,NA,NA,NA,NA,NA,NA,NA
student_033,2,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,6.7,6.5,8.8,7.75,7.65,7.333333333333333,6.7,8.8
student_033,3,DEFAULT,FALSE,TRUE,7.65,9.38,10,8.825,9.69,9.01,7.65,10,7.7,8,8,7.85,8,7.9,7.7,8
student_033,4,RELIABILITY_BIASED,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,6.8,6.5,9.8,8.3,8.15,7.7,6.8,9.8
student_033,5,DEFAULT,FALSE,TRUE,9.1,9.79,10,9.55,9.895,9.63,9.1,10,6.4,8,9,7.7,8.5,7.8,6.4,9
student_033,6,DEFAULT,FALSE,TRUE,9.69,10,10,9.845,10,9.896666666666668,9.69,10,5.5,7,7.3,6.4,7.15,6.6000000000000005,5.5,7.3
student_033,7,QUESTIONING_ORIENTED,TRUE,TRUE,7.78,8.61,9,8.39,8.805,8.463333333333333,7.78,9,6,7,8.4,7.2,7.7,7.133333333333333,6,8.4
student_033,8,DEFAULT,FALSE,TRUE,8.86,10,8,8.43,9,8.953333333333333,8,8.86,6,6,9,7.5,7.5,7,6,9
student_033,9,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,6.6,7,7.5,7.05,7.25,7.033333333333334,6.6,7.5
student_035,1,DEFAULT,FALSE,TRUE,8.61,10,8,8.305,9,8.87,8,8.61,NA,NA,NA,NA,NA,NA,NA,NA
student_035,2,DEFAULT,FALSE,TRUE,6.8,9.38,9,7.9,9.19,8.393333333333333,6.8,9,6.3,6,7.7,7,6.85,6.666666666666667,6.3,7.7
student_035,3,DEFAULT,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,7.3,5.5,8,7.65,6.75,6.933333333333334,7.3,8
