student_id,week,conv_round,conv_length
student_022,1,4,136
student_022,2,0,0
student_022,3,190,58357
student_022,4,79,102289
student_022,5,0,0
student_022,6,0,0
student_022,7,0,0
student_022,8,0,0
student_022,9,80,27297
student_023,1,59,35478
student_023,2,5,3515
student_023,3,0,0
student_023,4,0,0
student_023,5,0,0
student_023,6,0,0
student_023,7,0,0
student_023,8,0,0
student_023,9,0,0
student_024,1,0,0
student_024,2,0,0
student_024,3,0,0
student_024,4,0,0
student_024,5,0,0
student_024,6,0,0
student_024,7,0,0
student_024,8,0,0
student_024,9,0,0
student_028,1,49,3571
student_028,2,9,1210
student_028,3,0,0
student_028,4,0,0
student_028,5,0,0
student_028,6,15,2490
student_028,7,45,22383
student_028,8,1,150
student_028,9,3,492
student_031,1,0,0
student_031,2,0,0
student_031,3,0,0
student_031,4,0,0
student_031,5,0,0
student_031,6,0,0
student_031,7,0,0
student_031,8,0,0
student_031,9,0,0
student_032,1,0,0
student_032,2,35,2022
student_032,3,161,49168
student_032,4,224,56411
student_032,5,242,87120
student_032,6,614,168643
student_032,7,428,83861
student_032,8,607,130819
student_032,9,688,128565
student_033,1,281,136602
student_033,2,173,84727
student_033,3,115,69430
student_033,4,200,38612
student_033,5,459,118281
student_033,6,121,39187
student_033,7,279,59367
student_033,8,57,21943
student_033,9,276,61473
student_035,1,93,38491
student_035,2,85,65133
student_035,3,0,0
student_035,4,0,0
student_035,5,99,28258
student_035,6,0,0
student_035,7,0,0
student_035,8,2,262
student_035,9,13,2275
student_036,1,149,71227
student_036,2,90,32738
student_036,3,0,0
student_036,4,0,0
student_036,5,0,0
student_036,6,0,0
student_036,7,0,0
student_036,8,0,0
student_036,9,35,1011
student_037,1,0,0
student_037,2,0,0
student_037,3,0,0
student_037,4,0,0
student_037,5,0,0
student_037,6,0,0
student_037,7,0,0
student_037,8,0,0
student_037,9,0,0
student_038,1,77,17316
student_038,2,1,9
student_038,3,23,16019
student_038,4,2,18
student_038,5,1,9
student_038,6,0,0
student_038,7,0,0
student_038,8,0,0
student_038,9,0,0
student_039,1,155,129422
student_039,2,48,4571
student_039,3,0,0
student_039,4,9,426
student_039,5,2,69
student_039,6,0,0
student_039,7,0,0
student_039,8,0,0
student_039,9,0,0
student_040,1,11,390
student_040,2,0,0
student_040,3,0,0
student_040,4,0,0
student_040,5,0,0
student_040,6,0,0
student_040,7,0,0
student_040,8,0,0
student_040,9,0,0
student_042,1,78,4856
student_042,2,44,5090
student_042,3,63,8674
student_042,4,37,23059
student_042,5,79,12576
student_042,6,10,3065
student_042,7,26,5681
student_042,8,22,3587
student_042,9,118,22569
student_043,1,18,4409
student_043,2,0,0
student_043,3,0,0
student_043,4,0,0
student_043,5,0,0
student_043,6,0,0
student_043,7,0,0
student_043,8,0,0
student_043,9,0,0
student_044,1,0,0
student_044,2,0,0
student_044,3,0,0
student_044,4,0,0
student_044,5,0,0
student_044,6,0,0
student_044,7,0,0
student_044,8,0,0
student_044,9,0,0
student_045,1,149,28527
student_045,2,53,19213
student_045,3,35,13362
student_045,4,129,99381
student_045,5,26,8350
student_045,6,111,54124
student_045,7,16,16612
student_045,8,0,0
student_045,9,12,3085
student_046,1,0,0
student_046,2,0,0
student_046,3,0,0
student_046,4,0,0
student_046,5,0,0
student_046,6,0,0
student_046,7,0,0
student_046,8,0,0
student_046,9,0,0
student_049,1,47,1821
student_049,2,4,1192
student_049,3,0,0
student_049,4,0,0
student_049,5,0,0
student_049,6,0,0
student_049,7,0,0
student_049,8,0,0
student_049,9,0,0
student_050,1,0,0
student_050,2,0,0
student_050,3,0,0
student_050,4,0,0
student_050,5,0,0
student_050,6,0,0
student_050,7,0,0
student_050,8,0,0
student_050,9,0,0
student_052,1,0,0
student_052,2,2,68
student_052,3,0,0
student_052,4,0,0
student_052,5,0,0
student_052,6,0,0
student_052,7,0,0
student_052,8,0,0
student_052,9,92,92244
student_053,1,0,0
student_053,2,0,0
student_053,3,0,0
student_053,4,0,0
student_053,5,0,0
student_053,6,0,0
student_053,7,0,0
student_053,8,0,0
student_053,9,10,5486
student_054,1,0,0
student_054,2,0,0
student_054,3,0,0
student_054,4,0,0
student_054,5,0,0
student_054,6,0,0
student_054,7,0,0
student_054,8,0,0
student_054,9,0,0
student_055,1,0,0
student_055,2,0,0
student_055,3,0,0
student_055,4,0,0
student_055,5,0,0
student_055,6,0,0
student_055,7,0,0
student_055,8,0,0
student_055,9,0,0
student_058,1,146,46287
student_058,2,120,38195
student_058,3,32,8754
student_058,4,0,0
student_058,5,6,1538
student_058,6,0,0
student_058,7,0,0
student_058,8,7,788
student_058,9,54,4798
student_062,1,28,5602
student_062,2,115,17848
student_062,3,56,16194
student_062,4,82,35432
student_062,5,119,20287
student_062,6,21,3244
student_062,7,22,3243
student_062,8,10,6585
student_062,9,96,17562
student_063,1,0,0
student_063,2,0,0
student_063,3,187,47828
student_063,4,281,80358
student_063,5,280,72810
student_063,6,565,125669
student_063,7,740,184996
student_063,8,169,62627
student_063,9,50,5426
student_064,1,0,0
student_064,2,0,0
student_064,3,80,21524
student_064,4,5,266
student_064,5,11,850
student_064,6,0,0
student_064,7,0,0
student_064,8,9,383
student_064,9,0,0
