student_id,week,behavioral,cognitive,emotional,autonomy,social_presence,overall_engagement,n_exchanges,n_chars,truncated,model,status
student_016,2,3,3,3,3,3,High,374,1400085,True,gpt-5.5,annotated
student_016,4,3,3,3,3,3,High,100,507132,False,gpt-5.5,annotated
student_016,3,3,3,2,3,3,High,297,1130312,False,gpt-5.5,annotated
student_016,5,3,3,2,3,2,High,105,547878,False,gpt-5.5,annotated
student_016,6,3,3,2,3,2,High,128,698379,False,gpt-5.5,annotated
student_016,9,3,3,2,3,2,High,96,76605,False,gpt-5.5,annotated
student_016,8,3,3,2,3,2,High,97,308887,False,gpt-5.5,annotated
student_021,1,3,3,1,2,2,Moderate,107,292366,False,gpt-5.5,annotated
student_016,7,2,3,1,2,1,Moderate,23,37892,False,gpt-5.5,annotated
student_021,5,3,3,2,3,1,Moderate,96,145836,False,gpt-5.5,annotated
student_021,4,3,3,2,3,2,High,427,970192,False,gpt-5.5,annotated
student_021,6,3,2,1,2,1,Moderate,124,367944,False,gpt-5.5,annotated
student_021,2,3,2,1,3,0,Moderate,16,53991,False,gpt-5.5,annotated
student_021,7,3,3,2,3,2,High,70,39285,False,gpt-5.5,annotated
student_021,8,3,3,2,3,2,High,36,265743,False,gpt-5.5,annotated
student_021,9,3,3,2,3,2,High,89,51679,False,gpt-5.5,annotated
student_022,1,1,0,1,0,2,Low,4,417,False,gpt-5.5,annotated
student_022,3,3,3,2,3,1,Moderate,190,560889,False,gpt-5.5,annotated
student_023,1,3,3,2,3,2,High,59,223417,False,gpt-5.5,annotated
student_022,9,3,3,2,3,2,High,80,606769,False,gpt-5.5,annotated
student_022,4,3,2,1,3,2,Moderate,79,1400085,True,gpt-5.5,annotated
student_023,2,2,2,1,2,2,Moderate,5,25646,False,gpt-5.5,annotated
student_028,1,3,2,2,3,2,Moderate,49,91992,False,gpt-5.5,annotated
student_028,2,3,2,1,2,1,Moderate,9,17514,False,gpt-5.5,annotated
student_028,6,3,2,1,2,1,Moderate,15,31562,False,gpt-5.5,annotated
student_028,8,1,1,1,0,0,Low,1,1141,False,gpt-5.5,annotated
student_028,9,2,1,1,0,0,Low,3,5035,False,gpt-5.5,annotated
student_028,7,3,2,2,3,2,Moderate,45,164393,False,gpt-5.5,annotated
student_032,2,1,1,1,2,1,Low,35,17875,False,gpt-5.5,annotated
student_032,4,3,3,2,3,2,High,224,558341,False,gpt-5.5,annotated
student_032,3,3,3,2,3,2,High,161,677077,False,gpt-5.5,annotated
student_032,5,3,3,2,3,2,High,242,746238,False,gpt-5.5,annotated
student_032,6,3,3,2,3,2,High,614,1400085,True,gpt-5.5,annotated
student_032,7,3,3,2,3,2,High,428,859198,False,gpt-5.5,annotated
student_032,8,3,3,3,3,3,High,607,1400085,True,gpt-5.5,annotated
student_032,9,3,3,3,3,3,High,688,1400085,True,gpt-5.5,annotated
student_033,1,3,3,2,3,2,High,281,1261399,False,gpt-5.5,annotated
student_033,2,3,3,2,3,2,High,173,1317657,False,gpt-5.5,annotated
student_033,3,3,3,2,3,2,High,115,659498,False,gpt-5.5,annotated
student_033,4,3,3,2,3,2,High,200,321670,False,gpt-5.5,annotated
student_033,5,3,3,2,3,2,High,459,902448,False,gpt-5.5,annotated
student_033,6,3,3,2,3,2,High,121,379993,False,gpt-5.5,annotated
student_033,7,3,3,2,3,2,High,279,562964,False,gpt-5.5,annotated
student_033,8,3,3,2,3,1,Moderate,57,443414,False,gpt-5.5,annotated
student_033,9,3,3,2,3,2,High,276,490165,False,gpt-5.5,annotated
student_035,1,3,3,2,3,2,High,93,194397,False,gpt-5.5,annotated
student_035,2,3,3,2,3,2,High,85,482333,False,gpt-5.5,annotated
student_035,5,3,3,1,3,1,Moderate,99,307244,False,gpt-5.5,annotated
student_035,8,1,0,1,0,0,Very Low,2,2679,False,gpt-5.5,annotated
student_036,9,3,2,2,2,1,Moderate,35,10426,False,gpt-5.5,annotated
student_036,1,3,3,2,3,2,High,149,537550,False,gpt-5.5,annotated
student_035,9,3,2,1,3,1,Moderate,13,4551,False,gpt-5.5,annotated
student_036,2,2,1,1,1,2,Low,90,271140,False,gpt-5.5,annotated
student_038,2,1,0,1,0,0,Very Low,1,508,False,gpt-5.5,annotated
student_038,4,0,0,1,0,0,Very Low,2,167,False,gpt-5.5,annotated
student_038,1,3,2,2,2,2,Moderate,77,150736,False,gpt-5.5,annotated
student_038,5,0,0,1,0,0,Very Low,1,536,False,gpt-5.5,annotated
student_039,1,3,3,2,3,2,High,155,684328,False,gpt-5.5,annotated
student_038,3,3,2,1,2,1,Moderate,23,254827,False,gpt-5.5,annotated
student_039,2,3,3,2,3,1,Moderate,48,251360,False,gpt-5.5,annotated
student_039,4,3,2,2,3,1,Moderate,9,21327,False,gpt-5.5,annotated
student_039,5,1,1,1,1,1,Low,2,856,False,gpt-5.5,annotated
student_042,2,3,3,2,3,1,Moderate,44,292151,False,gpt-5.5,annotated
student_042,1,3,3,2,3,2,High,78,234741,False,gpt-5.5,annotated
student_040,1,3,2,2,2,2,Moderate,11,8054,False,gpt-5.5,annotated
student_042,3,3,2,1,2,0,Moderate,63,206091,False,gpt-5.5,annotated
student_042,4,3,3,1,3,1,Moderate,37,212776,False,gpt-5.5,annotated
student_042,5,3,2,1,2,1,Moderate,79,109301,False,gpt-5.5,annotated
student_042,6,2,2,1,2,0,Low,10,22324,False,gpt-5.5,annotated
student_042,7,3,2,1,2,0,Moderate,26,52655,False,gpt-5.5,annotated
student_042,8,3,3,2,3,1,Moderate,22,62192,False,gpt-5.5,annotated
student_043,1,2,1,1,2,2,Moderate,18,37142,False,gpt-5.5,annotated
student_042,9,3,3,2,3,2,High,118,312563,False,gpt-5.5,annotated
student_045,1,3,3,2,3,3,High,149,356132,False,gpt-5.5,annotated
student_045,2,3,3,2,3,2,High,53,174218,False,gpt-5.5,annotated
student_045,3,3,3,2,3,2,High,35,77670,False,gpt-5.5,annotated
student_045,4,3,3,2,3,3,High,129,989581,False,gpt-5.5,annotated
student_045,5,3,2,2,2,2,Moderate,26,118132,False,gpt-5.5,annotated
student_045,6,3,3,2,3,2,High,111,322468,False,gpt-5.5,annotated
student_045,7,3,2,1,2,1,Moderate,16,144245,False,gpt-5.5,annotated
student_052,2,1,0,1,0,2,Low,2,214,False,gpt-5.5,annotated
student_045,9,3,2,1,2,1,Moderate,12,19077,False,gpt-5.5,annotated
student_049,1,3,3,2,2,1,Moderate,47,61462,False,gpt-5.5,annotated
student_049,2,2,2,2,2,1,Moderate,4,8616,False,gpt-5.5,annotated
student_052,9,3,3,1,3,2,Moderate,92,240125,False,gpt-5.5,annotated
student_053,9,3,3,1,3,1,Moderate,10,40752,False,gpt-5.5,annotated
student_058,1,3,3,2,3,2,High,146,375561,False,gpt-5.5,annotated
student_058,2,3,2,1,2,1,Moderate,120,431832,False,gpt-5.5,annotated
student_058,3,3,2,1,2,1,Moderate,32,82883,False,gpt-5.5,annotated
student_058,5,2,2,1,2,2,Moderate,6,11369,False,gpt-5.5,annotated
student_058,8,3,2,1,2,2,Moderate,7,4174,False,gpt-5.5,annotated
student_058,9,3,2,1,2,2,Moderate,54,22061,False,gpt-5.5,annotated
student_062,1,3,2,2,2,2,Moderate,28,39635,False,gpt-5.5,annotated
student_062,3,3,2,1,2,2,Moderate,56,137483,False,gpt-5.5,annotated
student_062,2,3,3,2,3,2,High,115,308884,False,gpt-5.5,annotated
student_062,5,3,2,2,2,2,Moderate,119,176668,False,gpt-5.5,annotated
student_062,4,3,2,2,3,2,Moderate,82,321101,False,gpt-5.5,annotated
student_062,6,3,2,1,2,0,Moderate,21,23141,False,gpt-5.5,annotated
student_062,7,3,2,2,2,2,Moderate,22,19804,False,gpt-5.5,annotated
student_062,8,3,2,2,2,1,Moderate,10,45902,False,gpt-5.5,annotated
student_062,9,3,3,2,3,2,High,96,130132,False,gpt-5.5,annotated
student_063,3,3,3,2,3,2,High,187,791472,False,gpt-5.5,annotated
student_063,6,3,3,2,3,2,High,565,1400085,True,gpt-5.5,annotated
student_063,5,3,3,2,3,3,High,280,934236,False,gpt-5.5,annotated
student_063,4,3,3,3,3,2,High,281,915414,False,gpt-5.5,annotated
student_063,8,3,3,2,3,3,High,169,298715,False,gpt-5.5,annotated
student_063,7,3,3,2,3,2,High,740,1400085,True,gpt-5.5,annotated
student_063,9,3,3,2,3,1,Moderate,50,62175,False,gpt-5.5,annotated
student_064,4,1,1,1,2,0,Low,5,1773,False,gpt-5.5,annotated
student_064,5,1,1,1,0,0,Low,11,5153,False,gpt-5.5,annotated
student_064,8,3,2,1,2,1,Moderate,9,2358,False,gpt-5.5,annotated
student_064,3,3,2,2,2,1,Moderate,80,436610,False,gpt-5.5,annotated
