student_id,What is your current academic level?,prior programming experience in general?,prior machine learning / AI programming experience?,Languages/tools used: count,"For learning/explanations (concepts, reading, studying)","For coding/programming (writing code, debugging, refactoring)","For writing (emails, reports, summaries)",Roughly how many total hours did you use AI assistants in the last 7 days?,"How often do you typically verify AI outputs (e.g., run the code, test edge cases, check reasoning)?",How confident are you in evaluating whether an AI-generated coding solution is correct?,"Before this course, had you used an AI coding tool integrated into an IDE/terminal/workflow (e.g., Claude Code, GitHub Copilot, Cursor, Codeium)?",AI coding tools used: count,"If you have used Claude Code before, how frequently?",AI coding-tool settings: count,AI coding tasks: count,"I prefer a solution that is reliable and standard, even if it is not innovative.","I prefer to try new or unconventional approaches, even if they sometimes fail.","When I am under time pressure, I tend to choose the safest approach.","When I have time, I enjoy exploring multiple alternative approaches before deciding.",I would rather have an assistant propose one best answer than multiple speculative ideas.,I would rather have an assistant propose several candidate strategies (with pros/cons) than one answer.,"If a first approach works “well enough,” I typically stop searching for alternatives.",I am comfortable spending extra effort to find a better approach even after I have a working one.,I feel comfortable rejecting an AI suggestion when it doesn’t seem right.,I worry I might become overly dependent on AI tools for coding.,"I expect AI tools to help me learn, not just finish tasks faster.",novelty_mean,reliability_mean,direction_score,novelty_pref_z,reliability_pref_z,lean
student_021,Master's student,3.0,2.0,5.0,3.0,4.0,3.0,15.0,3.0,6.0,Yes,1.0,0.0,3.0,3.0,2.0,6.0,2.0,7.0,2.0,6.0,3.0,6.0,6.0,5.0,6.0,6.25,2.25,4.0,1.0312643455569033,-2.467464035430021,novelty
student_022,Master's student,3.0,2.0,4.0,4.0,1.0,2.0,0.0,3.0,6.0,Yes,3.0,0.0,4.0,3.0,6.0,7.0,7.0,5.0,2.0,7.0,5.0,5.0,7.0,7.0,7.0,6.0,5.0,1.0,0.7450544170543267,0.2994495188628664,novelty
student_023,PhD student,2.0,2.0,3.0,4.0,4.0,4.0,15.0,4.0,6.0,Yes,2.0,0.0,1.0,3.0,4.0,6.0,7.0,7.0,3.0,6.0,1.0,5.0,7.0,2.0,7.0,6.0,3.75,2.25,0.7450544170543267,-0.9582384603611732,novelty
student_024,Master's student,2.0,1.0,2.0,3.0,3.0,3.0,15.0,3.0,6.0,Yes,4.0,3.0,4.0,3.0,4.0,5.0,5.0,6.0,4.0,5.0,4.0,6.0,6.0,4.0,6.0,5.5,4.25,1.25,0.17263456004917357,-0.4551632686715574,novelty
student_028,Master's student,2.0,1.0,4.0,0.0,1.0,0.0,0.5,3.0,5.0,Yes,3.0,1.0,2.0,2.0,5.0,2.0,6.0,4.0,4.0,5.0,6.0,3.0,6.0,3.0,5.0,3.5,5.25,-1.75,-2.117044867971439,0.5509871147076744,reliability
student_031,Master's student,1.0,1.0,3.0,3.0,3.0,3.0,7.5,4.0,5.0,Yes,3.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,5.0,5.0,4.0,4.0,0.0,-1.5446250109662858,-0.7067008645163653,
student_032,Master's student,2.0,1.0,4.0,3.0,3.0,2.0,7.5,4.0,5.0,Yes,3.0,0.0,3.0,3.0,4.0,2.0,7.0,4.0,1.0,6.0,5.0,4.0,7.0,7.0,3.0,4.0,4.25,-0.25,-1.5446250109662858,-0.4551632686715574,reliability
student_033,Master's student,2.0,1.0,4.0,4.0,1.0,0.0,3.0,4.0,6.0,No,0.0,0.0,0.0,0.0,6.0,5.0,7.0,7.0,4.0,7.0,1.0,7.0,7.0,7.0,4.0,6.5,4.5,2.0,1.3174742740594798,-0.20362567282674945,novelty
student_035,Master's student,2.0,2.0,5.0,3.0,3.0,3.0,7.5,2.0,3.0,Yes,2.0,0.0,3.0,3.0,4.0,7.0,2.0,7.0,4.0,3.0,3.0,5.0,7.0,7.0,7.0,5.5,3.25,2.25,0.17263456004917357,-1.461313652050789,novelty
student_036,Master's student,1.0,,3.0,4.0,4.0,0.0,3.0,4.0,6.0,No,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,7.0,3.0,5.0,6.25,6.75,-0.5,1.0312643455569033,2.060212689776522,reliability
student_037,Master's student,1.0,1.0,4.0,4.0,4.0,4.0,15.0,4.0,5.0,Yes,3.0,1.0,2.0,3.0,7.0,7.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,4.0,7.0,6.5,6.0,0.5,1.3174742740594798,1.305599902242098,novelty
student_038,Master's student,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,5.0,Yes,5.0,2.0,2.0,3.0,7.0,4.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,5.0,6.0,4.5,6.25,-1.75,-0.9722051539611327,1.557137498086906,reliability
student_039,Undergraduate,2.0,1.0,3.0,3.0,3.0,0.0,0.5,4.0,5.0,No,0.0,0.0,0.0,0.0,5.0,5.0,7.0,7.0,3.0,7.0,5.0,4.0,7.0,5.0,6.0,5.75,5.0,0.75,0.45884448855175014,0.2994495188628664,novelty
student_040,Master's student,2.0,1.0,3.0,4.0,4.0,1.0,3.0,3.0,5.0,Yes,2.0,0.0,2.0,3.0,4.0,6.0,5.0,7.0,3.0,6.0,4.0,7.0,7.0,7.0,7.0,6.5,4.0,2.5,1.3174742740594798,-0.7067008645163653,novelty
student_042,Master's student,1.0,1.0,5.0,2.0,2.0,0.0,3.0,3.0,4.0,No,0.0,0.0,0.0,0.0,6.0,3.0,7.0,6.0,3.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,0.0,-0.3997852969559796,0.2994495188628664,
student_043,Master's student,2.0,2.0,5.0,1.0,2.0,1.0,7.5,4.0,5.0,No,0.0,0.0,0.0,0.0,6.0,7.0,4.0,7.0,4.0,7.0,3.0,6.0,7.0,4.0,5.0,6.75,4.25,2.5,1.6036842025620563,-0.4551632686715574,novelty
student_044,Master's student,3.0,2.0,4.0,4.0,4.0,4.0,25.0,4.0,4.0,Yes,2.0,0.0,2.0,3.0,4.0,6.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,4.5,4.25,0.25,-0.9722051539611327,-0.4551632686715574,novelty
student_045,Master's student,2.0,2.0,5.0,4.0,3.0,3.0,7.5,4.0,7.0,Yes,1.0,1.0,2.0,3.0,5.0,7.0,6.0,7.0,1.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,4.25,2.75,1.8898941310646329,-0.4551632686715574,novelty
student_046,Master's student,2.0,2.0,3.0,4.0,4.0,4.0,15.0,2.0,6.0,Yes,1.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,-0.3997852969559796,0.2994495188628664,
student_049,Master's student,3.0,1.0,8.0,3.0,3.0,1.0,0.5,3.0,4.0,No,0.0,0.0,0.0,0.0,6.0,5.0,6.0,6.0,4.0,6.0,5.0,6.0,7.0,5.0,7.0,5.75,5.25,0.5,0.45884448855175014,0.5509871147076744,novelty
student_050,Master's student,2.0,2.0,4.0,3.0,3.0,3.0,7.5,3.0,5.0,Yes,3.0,0.0,3.0,3.0,7.0,2.0,7.0,6.0,2.0,7.0,7.0,5.0,7.0,4.0,7.0,5.0,5.75,-0.75,-0.3997852969559796,1.0540623063972903,reliability
student_052,Master's student,2.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,5.0,Yes,1.0,0.0,2.0,3.0,5.0,4.0,6.0,7.0,2.0,7.0,5.0,4.0,7.0,6.0,4.0,5.5,4.5,1.0,0.17263456004917357,-0.20362567282674945,novelty
student_053,Master's student,2.0,2.0,1.0,4.0,4.0,4.0,7.5,2.0,6.0,Yes,1.0,0.0,4.0,3.0,5.0,4.0,5.0,5.0,6.0,4.0,6.0,4.0,7.0,4.0,7.0,4.25,5.5,-1.25,-1.2584150824637093,0.8025247105524823,reliability
student_054,Master's student,2.0,1.0,3.0,3.0,3.0,3.0,7.5,3.0,5.0,Yes,2.0,0.0,2.0,2.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0,4.0,5.0,5.75,6.25,-0.5,0.45884448855175014,1.557137498086906,reliability
student_055,Master's student,3.0,3.0,2.0,4.0,4.0,3.0,25.0,4.0,5.0,Yes,6.0,4.0,4.0,3.0,6.0,3.0,6.0,5.0,6.0,2.0,6.0,2.0,6.0,5.0,6.0,3.0,6.0,-3.0,-2.689464724976592,1.305599902242098,reliability
student_058,Master's student,2.0,2.0,5.0,4.0,4.0,4.0,7.5,4.0,5.0,No,0.0,0.0,0.0,0.0,6.0,4.0,7.0,2.0,6.0,5.0,7.0,4.0,7.0,6.0,7.0,3.75,6.5,-2.75,-1.8308349394688623,1.808675093931714,reliability
student_062,Master's student,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,Yes,2.0,0.0,2.0,2.0,4.0,4.0,5.0,6.0,2.0,5.0,2.0,5.0,7.0,6.0,7.0,5.0,3.25,1.75,-0.3997852969559796,-1.461313652050789,novelty
student_063,Master's student,3.0,2.0,4.0,4.0,4.0,3.0,7.5,4.0,6.0,Yes,6.0,2.0,3.0,3.0,4.0,6.0,2.0,6.0,6.0,6.0,3.0,7.0,6.0,7.0,7.0,6.25,3.75,2.5,1.0312643455569033,-0.9582384603611732,novelty
student_064,Master's student,1.0,,3.0,3.0,0.0,0.0,3.0,0.0,1.0,No,0.0,0.0,0.0,0.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,5.5,1.5,1.8898941310646329,0.8025247105524823,novelty
