student_id,week,policy,analysis_keep,is_treatment_week,reported_claude_use,comfort,perceived_performance,usefulness,reliability,verification_frequency,alternatives,reliance
student_023,4.0,DEFAULT,True,False,No,,,,,,,
student_043,4.0,DEFAULT,True,False,No,,,,,,,
student_053,4.0,QUESTIONING_ORIENTED,True,True,No,,,,,,,
student_007,5.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,7.0,3.0,3.0,6.0
student_049,4.0,DEFAULT,True,False,No,,,,,,,
student_002,4.0,RELIABILITY_BIASED,True,True,Yes,4.0,4.0,4.0,5.0,4.0,2.0,1.0
student_028,5.0,DEFAULT,True,False,Yes,5.0,4.0,4.0,3.0,4.0,2.0,2.0
student_023,5.0,DEFAULT,True,False,No,,,,,,,
student_039,4.0,DEFAULT,True,False,Yes,5.0,5.0,5.0,5.0,4.0,2.0,5.0
student_033,4.0,RELIABILITY_BIASED,True,True,Yes,7.0,7.0,7.0,5.0,4.0,3.0,7.0
student_032,4.0,DEFAULT,True,False,Yes,4.0,5.0,5.0,4.0,4.0,3.0,6.0
student_050,5.0,RELIABILITY_BIASED,True,True,No,,,,,,,
student_023,6.0,RELIABILITY_BIASED,True,True,No,,,,,,,
student_063,4.0,DEFAULT,True,False,Yes,6.0,5.0,6.0,5.0,4.0,2.0,6.0
student_031,5.0,QUESTIONING_ORIENTED,True,True,Yes,5.0,5.0,5.0,5.0,3.0,3.0,5.0
student_052,5.0,DEFAULT,True,False,No,,,,,,,
student_052,4.0,QUESTIONING_ORIENTED,True,True,No,,,,,,,
student_053,5.0,DEFAULT,True,False,No,,,,,,,
student_024,4.0,DEFAULT,True,False,Yes,6.0,5.0,6.0,6.0,3.0,3.0,5.0
student_024,5.0,NOVELTY_BIASED,True,True,Yes,6.0,6.0,5.0,6.0,3.0,3.0,5.0
student_017,5.0,RELIABILITY_BIASED,True,True,No,,,,,,,
student_017,4.0,DEFAULT,True,False,No,,,,,,,
student_012,5.0,DEFAULT,True,False,No,,,,,,,
student_006,4.0,DEFAULT,True,False,Yes,6.0,6.0,6.0,6.0,3.0,2.0,5.0
student_039,5.0,DEFAULT,True,False,Yes,6.0,6.0,6.0,6.0,2.0,3.0,3.0
student_040,4.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,4.0,2.0,4.0,5.0
student_003,5.0,DEFAULT,True,False,Yes,5.0,4.0,5.0,5.0,4.0,2.0,4.0
student_040,5.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,5.0,3.0,2.0,6.0
student_043,5.0,DEFAULT,True,False,No,,,,,,,
student_049,5.0,RELIABILITY_BIASED,True,True,No,,,,,,,
student_007,6.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,7.0,2.0,2.0,7.0
student_002,5.0,DEFAULT,True,False,Yes,5.0,5.0,5.0,4.0,4.0,2.0,4.0
student_038,4.0,DEFAULT,True,False,Yes,6.0,6.0,6.0,6.0,3.0,3.0,5.0
student_038,5.0,DEFAULT,True,False,Yes,6.0,6.0,6.0,6.0,2.0,2.0,5.0
student_063,5.0,RELIABILITY_BIASED,True,True,Yes,5.0,3.0,4.0,6.0,3.0,2.0,5.0
student_033,5.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,4.0,4.0,3.0,6.0
student_032,5.0,DEFAULT,True,False,Yes,5.0,6.0,6.0,6.0,3.0,3.0,6.0
student_013,6.0,DEFAULT,True,False,Yes,5.0,5.0,5.0,5.0,4.0,3.0,4.0
student_037,6.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,7.0,4.0,4.0,6.0
student_035,4.0,DEFAULT,True,False,No,,,,,,,
student_035,5.0,QUESTIONING_ORIENTED,True,True,Yes,3.0,3.0,5.0,3.0,4.0,1.0,4.0
student_022,6.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,7.0,4.0,3.0,5.0
student_039,6.0,DEFAULT,True,False,No,,,,,,,
student_049,6.0,DEFAULT,True,False,No,,,,,,,
student_003,6.0,RELIABILITY_BIASED,True,True,Yes,6.0,6.0,6.0,4.0,3.0,2.0,6.0
student_007,7.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,7.0,3.0,3.0,6.0
student_040,6.0,DEFAULT,True,False,Yes,3.0,2.0,3.0,2.0,4.0,1.0,2.0
student_052,6.0,DEFAULT,True,False,No,,,,,,,
student_043,6.0,NEUTRAL,True,True,No,,,,,,,
student_053,6.0,DEFAULT,True,False,No,,,,,,,
student_012,6.0,DEFAULT,True,False,Yes,5.0,6.0,6.0,5.0,4.0,3.0,6.0
student_017,6.0,DEFAULT,True,False,No,,,,,,,
student_063,7.0,DEFAULT,True,False,Yes,6.0,5.0,6.0,7.0,4.0,3.0,6.0
student_015,5.0,DEFAULT,True,False,No,,,,,,,
student_015,6.0,RELIABILITY_BIASED,True,True,No,,,,,,,
student_002,6.0,DEFAULT,True,False,No,,,,,,,
student_028,6.0,DEFAULT,True,False,Yes,2.0,5.0,5.0,6.0,4.0,3.0,1.0
student_033,6.0,DEFAULT,True,False,Yes,6.0,7.0,7.0,6.0,4.0,3.0,7.0
student_045,7.0,DEFAULT,True,False,Yes,5.0,5.0,6.0,7.0,4.0,3.0,5.0
student_003,7.0,DEFAULT,True,False,Yes,6.0,5.0,5.0,4.0,4.0,2.0,5.0
student_039,7.0,DEFAULT,True,False,No,,,,,,,
student_049,7.0,DEFAULT,True,False,No,,,,,,,
student_017,7.0,NEUTRAL,True,True,No,,,,,,,
student_022,7.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,5.0,4.0,3.0,5.0
student_050,7.0,DEFAULT,True,False,No,,,,,,,
student_035,7.0,DEFAULT,True,False,No,,,,,,,
student_040,7.0,QUESTIONING_ORIENTED,True,True,Yes,3.0,4.0,4.0,2.0,3.0,2.0,3.0
student_031,7.0,DEFAULT,True,False,Yes,5.0,5.0,5.0,5.0,2.0,2.0,5.0
student_043,7.0,DEFAULT,True,False,No,,,,,,,
student_028,7.0,NOVELTY_BIASED,True,True,Yes,4.0,5.0,5.0,5.0,4.0,3.0,2.0
student_052,7.0,NEUTRAL,True,True,No,,,,,,,
student_002,7.0,DEFAULT,True,False,No,,,,,,,
student_007,8.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,7.0,3.0,3.0,6.0
student_015,7.0,DEFAULT,True,False,No,,,,,,,
student_033,7.0,QUESTIONING_ORIENTED,True,True,Yes,7.0,7.0,7.0,7.0,4.0,3.0,7.0
student_046,8.0,DEFAULT,True,False,Yes,5.0,5.0,4.0,3.0,3.0,2.0,5.0
student_022,8.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,5.0,4.0,4.0,7.0
student_028,8.0,DEFAULT,True,False,Yes,3.0,5.0,5.0,6.0,4.0,1.0,2.0
student_022,4.0,QUESTIONING_ORIENTED,True,True,Yes,7.0,7.0,7.0,6.0,4.0,4.0,7.0
student_022,5.0,DEFAULT,True,False,Yes,7.0,7.0,7.0,7.0,4.0,4.0,7.0
student_055,8.0,DEFAULT,True,False,No,,,,,,,
student_049,8.0,DEFAULT,True,False,No,,,,,,,
student_031,9.0,RELIABILITY_BIASED,True,True,Yes,5.0,5.0,5.0,5.0,2.0,3.0,5.0
student_040,8.0,DEFAULT,True,False,Yes,5.0,6.0,5.0,3.0,4.0,2.0,4.0
student_035,8.0,DEFAULT,True,False,No,,,,,,,
student_035,9.0,NOVELTY_BIASED,True,True,No,,,,,,,
student_007,9.0,NOVELTY_BIASED,True,True,Yes,6.0,6.0,6.0,6.0,3.0,3.0,6.0
student_042,5.0,DEFAULT,True,False,Yes,6.0,5.0,6.0,6.0,1.0,3.0,4.0
student_042,7.0,NEUTRAL,True,True,Yes,6.0,5.0,6.0,6.0,1.0,3.0,4.0
student_042,8.0,DEFAULT,True,False,Yes,6.0,6.0,5.0,6.0,1.0,3.0,4.0
student_042,9.0,DEFAULT,True,False,Yes,6.0,4.0,6.0,6.0,1.0,3.0,4.0
student_043,9.0,DEFAULT,True,False,No,,,,,,,
student_049,9.0,DEFAULT,True,False,No,,,,,,,
student_022,9.0,DEFAULT,True,False,Yes,5.0,4.0,5.0,3.0,4.0,2.0,4.0
student_039,9.0,NOVELTY_BIASED,True,True,Yes,6.0,5.0,5.0,5.0,3.0,3.0,4.0
