student_id,week,memo_regrade
student_039,6,9.2
student_039,7,9.7
student_039,8,10
student_039,9,9
student_040,2,8.65
student_040,3,8.25
student_040,4,9.4
student_040,5,9.25
student_040,6,9.6
student_040,7,9.9
student_040,8,8.75
student_040,9,9.5
student_042,2,8.4
student_042,3,8.25
student_042,4,7.5
student_042,5,6.75
student_042,6,7.5
student_042,7,6.95
student_042,8,6
student_042,9,7.75
student_043,2,8.4
student_043,3,8.6
student_043,4,9.75
student_043,5,9
student_043,6,8.5
student_043,7,9.1
student_043,8,7.5
student_043,9,8.5
student_044,2,8.85
student_044,3,8.5
student_044,4,9.4
student_044,5,9
student_044,6,9.5
student_044,7,9.25
student_044,8,9.5
student_044,9,8.75
student_045,2,9.55
student_045,3,9.6
student_045,4,9
student_045,5,9.5
student_045,6,9.3
student_045,7,9.9
student_045,8,8.75
student_045,9,9
student_046,2,9.15
student_046,3,9.1
student_046,4,9.4
student_046,5,8.75
student_046,6,8.95
student_046,7,7.5
student_046,8,6
student_046,9,8.65
student_049,2,8.7
student_049,3,7.6
student_049,4,8.5
student_049,5,9.5
student_049,6,8.95
student_049,7,9.25
student_049,8,6.25
student_049,9,9
student_050,2,8.85
student_050,3,6.75
student_050,4,9.65
student_050,5,9.25
student_050,6,8.65
student_050,7,8.65
student_050,8,6
student_050,9,7.5
student_052,2,7.95
student_052,3,9.5
student_052,4,8.8
student_052,5,8.75
student_052,6,8.35
student_052,7,9.05
student_052,8,6.5
student_052,9,9.5
student_053,2,8.9
student_053,3,7.5
student_053,4,9.1
student_053,5,9
student_053,6,9.35
student_053,7,9.25
student_053,8,8
student_053,9,8.5
student_054,2,9.2
student_054,3,9.25
student_054,4,9.4
student_054,5,9.5
student_054,6,8.1
student_054,7,8.95
student_054,8,9
student_054,9,8.75
student_055,2,8.3
student_055,3,7.9
student_055,4,9.5
student_055,5,9
student_055,6,8.8
student_055,7,9.55
student_055,9,8.65
student_058,2,8.9
student_058,4,9.2
student_058,5,8.75
student_058,6,9.2
student_058,7,7.2
student_062,2,8.4
student_062,3,7.25
student_062,4,9.2
student_062,5,8.5
student_062,6,7.7
student_062,7,8.1
student_062,8,9
student_062,9,8
student_063,2,8.85
student_063,3,8.5
student_063,4,9.9
student_063,5,9.75
student_063,6,9.7
student_063,7,9.9
student_063,8,9.75
student_063,9,9.25
student_064,2,9.3
student_064,3,7.5
student_064,4,9.3
student_064,5,9.5
student_064,6,9
student_064,7,10
student_064,8,6.5
student_064,9,9.25
