participantId,wave,ai_group,eval_start,ai_w_SHY,ai_w_IEF,ai_w_LQD,ai_w_GLD,ai_w_VNQ,ai_w_SPY,ai_w_XLF,ai_w_XLE,ai_w_XLI,ai_w_XLP,ai_w_XLU,ai_w_AAPL,ai_w_MSFT,ai_w_AMZN,ai_w_GOOGL,ai_w_NVDA,ai_w_TSLA,ai_w_SHOP,ai_w_SNOW,ai_w_PLTR,ai_w_DKNG,ai_w_RIVN,ai_w_CRSP,ai_w_BTC,ai_w_ETH
1316,wave3,Somewhat Risk-Averse,2026-06-09,15.0,15.0,15.0,15.0,0.0,15.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
719,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,15.0,0.0,0.0,10.0,30.0,0.0
2228,wave3,Risk-Neutral,2026-06-09,0.0,20.0,0.0,10.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
549,wave3,Somewhat Risk-Averse,2026-06-09,23.0,20.0,0.0,10.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2102,wave3,Default,2026-06-09,10.0,0.0,0.0,5.0,0.0,20.0,5.0,5.0,0.0,0.0,0.0,15.0,10.0,10.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
1557,wave3,Default,2026-06-09,10.0,0.0,0.0,15.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,wave3,Risk-Neutral,2026-06-09,0.0,20.0,15.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
866,wave3,Default,2026-06-09,0.0,15.0,0.0,10.0,0.0,25.0,10.0,0.0,0.0,10.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,wave3,Default,2026-06-09,0.0,15.0,0.0,10.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
870,wave3,Risk-Neutral,2026-06-09,0.0,15.0,10.0,10.0,0.0,25.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2132,wave3,Somewhat Risk-Averse,2026-06-09,30.0,15.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2122,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,30.0,15.0
212,wave3,Somewhat Risk-Averse,2026-06-09,20.0,20.0,0.0,10.0,5.0,25.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773,wave3,Extremely Risk-Averse,2026-06-09,30.0,20.0,10.0,15.0,0.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1148,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,15.0,0.0,0.0,0.0,20.0,15.0
1869,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,25.0,15.0
548,wave3,Somewhat Risk-Averse,2026-06-09,20.0,15.0,10.0,10.0,0.0,15.0,0.0,0.0,0.0,10.0,10.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1831,wave3,Default,2026-06-09,20.0,0.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0
1363,wave3,Risk-Neutral,2026-06-09,0.0,20.0,0.0,10.0,0.0,25.0,10.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
1530,wave3,Risk-Neutral,2026-06-09,0.0,15.0,10.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
172,wave3,Risk-Neutral,2026-06-09,0.0,15.0,10.0,10.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1473,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,10.0,0.0,0.0,10.0,25.0,15.0
1244,wave3,Somewhat Risk-Averse,2026-06-09,20.0,15.0,10.0,10.0,5.0,15.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,wave3,Default,2026-06-09,15.0,0.0,10.0,0.0,10.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
441,wave3,Somewhat Risk-Averse,2026-06-09,25.0,20.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,10.0
2019,wave3,Somewhat Risk-Averse,2026-06-09,20.0,15.0,15.0,10.0,0.0,20.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,wave3,Risk-Neutral,2026-06-09,10.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1312,wave3,Risk-Neutral,2026-06-09,0.0,15.0,0.0,15.0,10.0,30.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1892,wave3,Extremely Risk-Averse,2026-06-09,30.0,20.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2392,wave3,Extremely Risk-Averse,2026-06-09,40.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1335,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,15.0,10.0
471,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,20.0,15.0,0.0,10.0,10.0,0.0,0.0,0.0,15.0,15.0
581,wave3,Risk-Neutral,2026-06-09,0.0,15.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
205,wave3,Extremely Risk-Averse,2026-06-09,40.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,20.0
432,wave3,Risk-Neutral,2026-06-09,0.0,10.0,10.0,5.0,5.0,25.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
1074,wave3,Risk-Neutral,2026-06-09,0.0,15.0,0.0,10.0,0.0,25.0,10.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
1070,wave3,Default,2026-06-09,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,15.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1421,wave3,Risk-Neutral,2026-06-09,0.0,15.0,0.0,10.0,5.0,30.0,5.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
1588,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,15.0,0.0,0.0,0.0,25.0,15.0
1503,wave3,Extremely Risk-Averse,2026-06-09,20.0,20.0,10.0,10.0,0.0,15.0,0.0,0.0,0.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2121,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,10.0,0.0,0.0,10.0,25.0,15.0
1735,wave3,Extremely Risk-Averse,2026-06-09,30.0,20.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2376,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0
2049,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,20.0,10.0
607,wave3,Extremely Risk-Averse,2026-06-09,40.0,20.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,wave3,Somewhat Risk-Averse,2026-06-09,20.0,20.0,10.0,0.0,0.0,10.0,0.0,5.0,0.0,15.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,wave3,Default,2026-06-09,15.0,15.0,0.0,10.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2107,wave3,Extremely Risk-Averse,2026-06-09,30.0,20.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2125,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,25.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0
1897,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,15.0,0.0,0.0,0.0,30.0,20.0
560,wave3,Default,2026-06-09,15.0,15.0,0.0,15.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,wave3,Default,2026-06-09,10.0,0.0,0.0,15.0,0.0,25.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
1261,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,10.0,10.0,0.0,0.0,0.0,25.0,15.0
25,wave3,Default,2026-06-09,0.0,15.0,0.0,15.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,10.0,15.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1787,wave3,Risk-Neutral,2026-06-09,15.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1012,wave3,Somewhat Risk-Averse,2026-06-09,20.5,14.0,0.0,10.5,0.0,23.0,0.0,0.0,0.0,7.0,7.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2235,wave3,Extremely Risk-Averse,2026-06-09,25.0,20.0,10.0,10.0,0.0,5.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,wave3,Somewhat Risk-Averse,2026-06-09,25.0,20.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1540,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,10.0,0.0,0.0,10.0,30.0,15.0
1679,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,30.0,20.0
965,wave3,Risk-Neutral,2026-06-09,0.0,20.0,10.0,10.0,0.0,30.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1407,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,10.0,0.0,0.0,10.0,20.0,15.0
663,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,15.0,0.0,0.0,10.0,20.0,15.0
2217,wave3,Extremely Risk-Averse,2026-06-09,35.0,20.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2239,wave3,Extremely Risk-Averse,2026-06-09,40.0,20.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,wave3,Somewhat Risk-Averse,2026-06-09,20.0,15.0,15.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1583,wave3,Somewhat Risk-Averse,2026-06-09,25.0,15.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1707,wave3,Risk-Neutral,2026-06-09,0.0,15.0,10.0,10.0,0.0,25.0,10.0,0.0,0.0,5.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
466,wave3,Somewhat Risk-Averse,2026-06-09,15.0,15.0,10.0,10.0,0.0,20.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,wave3,Somewhat Risk-Averse,2026-06-09,20.0,20.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
506,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,10.0,15.0,0.0,0.0,0.0,25.0,10.0
1704,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,25.0,15.0,10.0,0.0,10.0,0.0,0.0,0.0,15.0,10.0
1478,wave3,Risk-Neutral,2026-06-09,0.0,20.0,0.0,10.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
924,wave3,Somewhat Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0,20.0,0.0,0.0,15.0,0.0,0.0,0.0,20.0,10.0
2369,wave3,Extremely Risk-Averse,2026-06-09,30.0,20.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,wave3,Extremely Risk-Averse,2026-06-09,35.0,20.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0
2134,wave3,Default,2026-06-09,10.0,0.0,5.0,10.0,0.0,15.0,5.0,5.0,0.0,5.0,0.0,0.0,10.0,5.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
985,wave3,Default,2026-06-09,0.0,10.0,10.0,15.0,0.0,25.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,wave3,Somewhat Risk-Averse,2026-06-09,25.0,20.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
817,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,5.0,10.0,0.0,15.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1946,wave3,Default,2026-06-09,0.0,10.0,15.0,10.0,0.0,20.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,wave3,Default,2026-06-09,10.0,0.0,10.0,10.0,5.0,15.0,0.0,5.0,0.0,5.0,0.0,0.0,10.0,5.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2196,wave3,Extremely Risk-Seeking,2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,10.0,10.0,0.0,10.0,5.0,15.0,10.0
