participantId,ai_group,wave,session_id,n_followup_turns,followup_words,length_per_round,status,behavioral,cognitive,emotional,autonomy,social_presence,overall,overall_label
130,Somewhat Risk-Seeking,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
131,Risk-Neutral,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
132,Somewhat Risk-Averse,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
133,Risk-Neutral,wave1,7,2,13,6.5,ok,2,1,1,2.0,0,1.2,Low
135,Extremely Risk-Averse,wave2,12,1,16,16.0,ok,2,2,2,2.0,1,1.8,Moderate
138,Somewhat Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
139,Extremely Risk-Seeking,wave1,7,2,18,9.0,ok,2,1,1,1.0,0,1.0,Low
140,Somewhat Risk-Seeking,wave1,7,1,8,8.0,ok,2,1,2,2.0,0,1.4,Moderate
141,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
145,Extremely Risk-Averse,wave1,5,1,6,6.0,ok,1,1,1,1.0,0,0.8,Low
147,Extremely Risk-Averse,wave2,12,1,5,5.0,ok,1,1,1,1.0,0,0.8,Low
148,Somewhat Risk-Seeking,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
151,Risk-Neutral,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
153,Default,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
155,Somewhat Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
157,Risk-Neutral,wave2,12,2,105,52.5,ok,3,3,3,3.0,2,2.8,High
161,Default,wave2,12,3,151,50.333333333333336,ok,3,3,3,3.0,3,3.0,High
162,Default,wave2,12,2,40,20.0,ok,3,3,2,3.0,1,2.4,Moderate
165,Risk-Neutral,wave3,15,2,25,12.5,ok,2,2,2,3.0,1,2.0,Moderate
168,Somewhat Risk-Seeking,wave1,7,1,7,7.0,ok,1,2,2,2.0,1,1.6,Moderate
170,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
172,Risk-Neutral,wave3,15,1,6,6.0,ok,1,1,1,2.0,0,1.0,Low
174,Somewhat Risk-Seeking,wave3,15,1,15,15.0,ok,2,2,1,1.0,1,1.4,Low
175,Somewhat Risk-Averse,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
176,Extremely Risk-Averse,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
179,Somewhat Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
180,Default,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
185,Somewhat Risk-Averse,wave3,15,3,98,32.666666666666664,ok,3,3,2,3.0,3,2.8,High
188,Default,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
189,Risk-Neutral,wave2,12,3,24,8.0,ok,3,2,3,2.0,2,2.4,Moderate
191,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
195,Risk-Neutral,wave1,7,1,4,4.0,ok,1,0,0,2.0,0,0.6,Low
197,Somewhat Risk-Averse,wave2,12,2,19,9.5,ok,2,2,1,3.0,0,1.6,Moderate
204,Somewhat Risk-Seeking,wave2,12,4,56,14.0,ok,3,2,2,2.0,1,2.0,Moderate
205,Extremely Risk-Averse,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
206,Extremely Risk-Seeking,wave1,7,1,13,13.0,ok,1,1,1,1.0,1,1.0,Low
210,Extremely Risk-Seeking,wave2,12,1,7,7.0,ok,1,2,2,3.0,0,1.6,Moderate
212,Somewhat Risk-Averse,wave3,15,1,9,9.0,ok,1,1,2,0.0,0,0.8,Low
213,Somewhat Risk-Seeking,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
214,Somewhat Risk-Averse,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
215,Risk-Neutral,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
218,Default,wave2,12,2,64,32.0,ok,3,3,2,3.0,1,2.4,Moderate
220,Somewhat Risk-Seeking,wave2,12,1,12,12.0,ok,1,1,1,1.0,0,0.8,Low
223,Extremely Risk-Averse,wave2,12,1,19,19.0,ok,2,2,1,3.0,0,1.6,Moderate
224,Risk-Neutral,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
225,Risk-Neutral,wave1,1,1,5,5.0,ok,0,1,1,2.0,0,0.8,Low
232,Somewhat Risk-Averse,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
236,Risk-Neutral,wave2,12,3,56,18.666666666666668,ok,3,3,2,3.0,1,2.4,High
238,Extremely Risk-Seeking,wave1,7,2,149,74.5,ok,3,3,2,3.0,1,2.4,Moderate
240,Somewhat Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
243,Default,wave1,7,1,9,9.0,ok,1,1,2,0.0,0,0.8,Low
244,Somewhat Risk-Averse,wave2,12,1,7,7.0,ok,1,1,1,1.0,0,0.8,Low
246,Risk-Neutral,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
247,Somewhat Risk-Averse,wave2,12,1,12,12.0,ok,2,3,2,3.0,1,2.2,High
248,Extremely Risk-Seeking,wave2,12,2,15,7.5,ok,2,2,1,2.0,0,1.4,Moderate
249,Somewhat Risk-Averse,wave3,15,3,80,26.666666666666668,ok,3,3,3,2.0,2,2.6,High
250,Extremely Risk-Averse,wave2,12,2,18,9.0,ok,2,2,1,3.0,0,1.6,Moderate
264,Somewhat Risk-Seeking,wave1,7,1,18,18.0,ok,2,2,2,3.0,1,2.0,Moderate
265,Somewhat Risk-Seeking,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
266,Risk-Neutral,wave3,15,4,14,3.5,ok,1,0,2,0.0,2,1.0,Low
268,Risk-Neutral,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
269,Extremely Risk-Seeking,wave1,7,3,33,11.0,ok,3,2,2,2.0,1,2.0,Moderate
273,Risk-Neutral,wave2,12,1,9,9.0,ok,1,1,1,1.0,0,0.8,Low
275,Somewhat Risk-Averse,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
278,Risk-Neutral,wave1,7,3,40,13.333333333333334,ok,3,2,2,2.0,1,2.0,Moderate
279,Default,wave2,12,2,20,10.0,ok,3,2,2,2.0,1,2.0,Moderate
280,Somewhat Risk-Averse,wave2,12,2,17,8.5,ok,3,2,2,2.0,1,2.0,Moderate
281,Somewhat Risk-Averse,wave2,12,1,26,26.0,ok,2,2,2,3.0,1,2.0,Moderate
282,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
289,Default,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
293,Default,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
295,Somewhat Risk-Seeking,wave2,12,2,38,19.0,ok,3,3,2,3.0,1,2.4,Moderate
299,Risk-Neutral,wave3,15,3,24,8.0,ok,3,2,3,1.0,2,2.2,Moderate
300,Somewhat Risk-Averse,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
301,Extremely Risk-Averse,wave3,15,1,12,12.0,ok,1,1,2,3.0,2,1.8,Moderate
306,Default,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
307,Risk-Neutral,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
310,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
311,Risk-Neutral,wave1,7,1,10,10.0,ok,1,2,1,2.0,1,1.4,Low
312,Default,wave3,15,1,11,11.0,ok,1,2,1,2.0,0,1.2,Low
314,Risk-Neutral,wave1,7,1,15,15.0,ok,1,2,1,3.0,0,1.4,Moderate
315,Default,wave2,12,1,12,12.0,ok,1,2,1,1.0,0,1.0,Low
316,Somewhat Risk-Averse,wave1,7,1,12,12.0,ok,1,1,1,2.0,0,1.0,Low
317,Somewhat Risk-Averse,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
321,Somewhat Risk-Averse,wave3,15,2,25,12.5,ok,2,3,2,2.0,1,2.0,Moderate
324,Somewhat Risk-Seeking,wave1,7,1,5,5.0,ok,0,2,2,3.0,0,1.4,Moderate
325,Somewhat Risk-Averse,wave2,12,4,52,13.0,ok,3,3,2,3.0,1,2.4,Moderate
327,Somewhat Risk-Seeking,wave1,7,3,41,13.666666666666666,ok,3,3,2,3.0,1,2.4,High
329,Somewhat Risk-Seeking,wave1,5,2,17,8.5,ok,1,2,1,1.0,0,1.0,Low
331,Somewhat Risk-Averse,wave2,12,1,2,2.0,ok,1,0,3,0.0,1,1.0,Low
334,Extremely Risk-Averse,wave2,12,1,9,9.0,ok,1,2,1,2.0,1,1.4,Low
335,Extremely Risk-Averse,wave2,12,2,27,13.5,ok,2,2,2,2.0,1,1.8,Moderate
342,Somewhat Risk-Averse,wave1,7,1,15,15.0,ok,2,2,1,3.0,0,1.6,Moderate
343,Risk-Neutral,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
345,Extremely Risk-Seeking,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
349,Extremely Risk-Averse,wave1,7,1,4,4.0,ok,1,1,1,1.0,0,0.8,Low
350,Default,wave2,12,1,10,10.0,ok,1,1,1,1.0,0,0.8,Low
352,Risk-Neutral,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
353,Default,wave1,7,3,102,34.0,ok,3,3,2,2.0,1,2.2,Moderate
355,Default,wave2,12,1,4,4.0,ok,1,1,1,0.0,0,0.6,Low
356,Risk-Neutral,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
357,Extremely Risk-Seeking,wave2,12,3,42,14.0,ok,3,2,2,3.0,0,2.0,Moderate
358,Extremely Risk-Seeking,wave1,7,1,13,13.0,ok,1,1,1,1.0,0,0.8,Low
360,Extremely Risk-Averse,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
364,Extremely Risk-Averse,wave2,12,1,19,19.0,ok,1,1,1,1.0,0,0.8,Low
367,Default,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
372,Default,wave3,15,1,30,30.0,ok,2,1,0,3.0,1,1.4,Low
376,Extremely Risk-Seeking,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
380,Default,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
385,Somewhat Risk-Averse,wave3,15,1,17,17.0,ok,2,1,1,1.0,0,1.0,Low
386,Default,wave1,7,2,28,14.0,ok,3,3,2,1.0,1,2.0,Moderate
388,Extremely Risk-Averse,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
391,Somewhat Risk-Seeking,wave1,5,4,124,31.0,ok,3,3,2,2.0,1,2.2,High
392,Somewhat Risk-Seeking,wave2,12,1,9,9.0,ok,1,1,1,1.0,0,0.8,Low
393,Risk-Neutral,wave3,15,1,6,6.0,ok,1,1,1,0.0,0,0.6,Low
394,Risk-Neutral,wave3,15,1,11,11.0,ok,1,1,1,1.0,0,0.8,Low
395,Somewhat Risk-Averse,wave2,12,1,7,7.0,ok,1,1,1,1.0,0,0.8,Low
396,Default,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
397,Somewhat Risk-Averse,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
398,Extremely Risk-Averse,wave2,12,1,3,3.0,ok,0,0,0,0.0,0,0.0,Very Low
399,Risk-Neutral,wave2,12,2,14,7.0,ok,2,1,2,1.0,1,1.4,Moderate
403,Risk-Neutral,wave2,12,1,2,2.0,ok,0,1,1,1.0,0,0.6,Low
407,Risk-Neutral,wave3,15,1,4,4.0,ok,1,1,1,0.0,1,0.8,Low
411,Extremely Risk-Averse,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
415,Risk-Neutral,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
416,Somewhat Risk-Seeking,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
421,Risk-Neutral,wave1,5,1,7,7.0,ok,1,1,1,1.0,0,0.8,Low
422,Risk-Neutral,wave3,15,2,41,20.5,ok,3,3,2,3.0,1,2.4,High
424,Risk-Neutral,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
426,Extremely Risk-Seeking,wave2,12,1,4,4.0,ok,0,2,2,2.0,0,1.2,Low
431,Risk-Neutral,wave1,5,0,0,,no_followup,0,0,0,,0,0.0,
432,Risk-Neutral,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
435,Default,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
436,Somewhat Risk-Seeking,wave3,15,1,15,15.0,ok,1,2,2,2.0,0,1.4,Moderate
437,Default,wave2,12,1,15,15.0,ok,2,2,1,3.0,0,1.6,Moderate
438,Risk-Neutral,wave3,15,4,129,32.25,ok,3,3,2,3.0,1,2.4,Moderate
439,Somewhat Risk-Seeking,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
441,Somewhat Risk-Averse,wave3,15,1,10,10.0,ok,1,1,1,1.0,0,0.8,Low
445,Risk-Neutral,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
448,Extremely Risk-Seeking,wave1,7,3,30,10.0,ok,2,2,1,0.0,1,1.2,Low
452,Somewhat Risk-Seeking,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
453,Default,wave1,7,1,13,13.0,ok,1,2,3,2.0,1,1.8,Moderate
454,Risk-Neutral,wave3,15,1,3,3.0,ok,0,1,1,1.0,0,0.6,Low
457,Extremely Risk-Averse,wave2,12,3,26,8.666666666666666,ok,3,1,2,1.0,1,1.6,Moderate
461,Default,wave1,7,1,26,26.0,ok,2,2,1,3.0,1,1.8,Moderate
464,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
465,Risk-Neutral,wave1,5,1,13,13.0,ok,1,1,1,1.0,0,0.8,Low
466,Somewhat Risk-Averse,wave3,15,1,5,5.0,ok,1,1,1,2.0,0,1.0,Low
469,Extremely Risk-Averse,wave3,15,1,9,9.0,ok,1,1,1,0.0,0,0.6,Low
471,Somewhat Risk-Seeking,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
474,Risk-Neutral,wave3,15,1,10,10.0,ok,1,1,1,1.0,0,0.8,Low
476,Default,wave3,15,1,12,12.0,ok,1,2,1,2.0,0,1.2,Low
477,Somewhat Risk-Averse,wave2,12,1,14,14.0,ok,2,2,1,2.0,0,1.4,Moderate
479,Extremely Risk-Seeking,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
483,Risk-Neutral,wave3,15,1,2,2.0,ok,1,0,2,0.0,2,1.0,Low
484,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
490,Risk-Neutral,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
495,Extremely Risk-Averse,wave2,12,4,69,17.25,ok,3,3,2,3.0,1,2.4,High
497,Default,wave1,5,0,0,,no_followup,0,0,0,,0,0.0,
498,Extremely Risk-Seeking,wave1,7,1,11,11.0,ok,1,1,2,1.0,1,1.2,Low
502,Default,wave3,15,2,19,9.5,ok,2,2,2,2.0,1,1.8,Moderate
505,Extremely Risk-Seeking,wave2,12,1,32,32.0,ok,2,3,2,2.0,1,2.0,Moderate
506,Extremely Risk-Seeking,wave3,15,1,6,6.0,ok,1,1,2,1.0,1,1.2,Low
509,Extremely Risk-Seeking,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
513,Somewhat Risk-Seeking,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
514,Extremely Risk-Seeking,wave3,15,1,8,8.0,ok,1,1,1,0.0,0,0.6,Low
516,Risk-Neutral,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
519,Somewhat Risk-Seeking,wave1,7,3,25,8.333333333333334,ok,3,2,1,2.0,1,1.8,Moderate
522,Extremely Risk-Averse,wave3,15,2,38,19.0,ok,3,3,2,1.0,1,2.0,Moderate
524,Somewhat Risk-Averse,wave1,7,1,5,5.0,ok,1,0,1,0.0,0,0.4,Very Low
531,Risk-Neutral,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
533,Extremely Risk-Seeking,wave3,15,2,36,18.0,ok,3,3,3,2.0,2,2.6,High
535,Extremely Risk-Averse,wave3,15,1,9,9.0,ok,1,1,1,1.0,0,0.8,Low
538,Extremely Risk-Seeking,wave2,12,2,8,4.0,ok,2,1,1,1.0,0,1.0,Low
539,Extremely Risk-Seeking,wave1,7,1,5,5.0,ok,1,1,1,1.0,0,0.8,Low
541,Risk-Neutral,wave1,5,1,9,9.0,ok,1,1,2,1.0,0,1.0,Low
543,Default,wave3,15,1,23,23.0,ok,2,2,2,1.0,1,1.6,Moderate
545,Extremely Risk-Averse,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
547,Risk-Neutral,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
548,Somewhat Risk-Averse,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
549,Somewhat Risk-Averse,wave3,15,4,163,40.75,ok,3,3,3,3.0,2,2.8,High
552,Extremely Risk-Seeking,wave1,7,4,51,12.75,ok,3,3,3,2.0,2,2.6,High
554,Extremely Risk-Averse,wave3,15,1,12,12.0,ok,2,2,1,2.0,0,1.4,Moderate
555,Default,wave1,7,1,4,4.0,ok,0,1,1,1.0,0,0.6,Low
556,Somewhat Risk-Seeking,wave1,5,1,12,12.0,ok,1,1,1,1.0,0,0.8,Low
557,Extremely Risk-Averse,wave1,7,2,20,10.0,ok,2,2,2,1.0,1,1.6,Moderate
559,Default,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
560,Default,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
561,Extremely Risk-Averse,wave2,12,1,9,9.0,ok,1,2,1,1.0,1,1.2,Low
568,Default,wave1,7,2,23,11.5,ok,2,1,1,1.0,0,1.0,Low
570,Extremely Risk-Averse,wave2,12,3,36,12.0,ok,3,3,2,2.0,1,2.2,Moderate
573,Default,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
575,Extremely Risk-Seeking,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
576,Somewhat Risk-Averse,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
578,Default,wave2,12,2,8,4.0,ok,1,1,3,1.0,2,1.6,Low
579,Default,wave1,7,2,25,12.5,ok,2,2,2,1.0,2,1.8,Moderate
581,Risk-Neutral,wave3,15,1,15,15.0,ok,2,2,1,2.0,0,1.4,Moderate
583,Extremely Risk-Seeking,wave1,7,2,19,9.5,ok,2,1,2,2.0,0,1.4,Moderate
585,Risk-Neutral,wave2,12,4,103,25.75,ok,3,3,2,3.0,1,2.4,Moderate
589,Risk-Neutral,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
591,Extremely Risk-Averse,wave1,5,2,27,13.5,ok,2,2,1,3.0,0,1.6,Moderate
592,Somewhat Risk-Seeking,wave3,15,2,15,7.5,ok,1,2,3,1.0,2,1.8,Moderate
596,Risk-Neutral,wave3,15,2,33,16.5,ok,3,2,2,2.0,1,2.0,Moderate
599,Somewhat Risk-Averse,wave2,12,1,13,13.0,ok,1,2,2,1.0,1,1.4,Low
600,Default,wave3,15,3,64,21.333333333333332,ok,3,3,2,3.0,1,2.4,Moderate
602,Extremely Risk-Averse,wave3,15,1,23,23.0,ok,2,2,1,1.0,0,1.2,Moderate
603,Risk-Neutral,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
605,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
606,Somewhat Risk-Averse,wave3,15,1,2,2.0,ok,1,0,1,0.0,2,0.8,Very Low
607,Extremely Risk-Averse,wave3,15,1,9,9.0,ok,1,1,1,1.0,0,0.8,Low
613,Somewhat Risk-Seeking,wave2,12,1,11,11.0,ok,1,1,1,0.0,1,0.8,Low
618,Somewhat Risk-Seeking,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
624,Default,wave3,15,4,47,11.75,ok,3,3,2,3.0,2,2.6,High
626,Risk-Neutral,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
627,Risk-Neutral,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
628,Somewhat Risk-Seeking,wave1,7,2,17,8.5,ok,2,1,1,2.0,1,1.4,Moderate
629,Extremely Risk-Seeking,wave1,7,1,3,3.0,ok,1,0,1,2.0,0,0.8,Low
633,Extremely Risk-Averse,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
636,Somewhat Risk-Seeking,wave2,12,1,6,6.0,ok,1,1,1,1.0,0,0.8,Low
639,Somewhat Risk-Averse,wave2,12,1,5,5.0,ok,1,1,1,1.0,0,0.8,Low
640,Extremely Risk-Seeking,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
642,Extremely Risk-Seeking,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
643,Somewhat Risk-Averse,wave3,15,1,51,51.0,ok,2,2,1,0.0,0,1.0,Low
644,Risk-Neutral,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
645,Default,wave2,12,1,9,9.0,ok,1,1,1,1.0,0,0.8,Low
648,Somewhat Risk-Seeking,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
651,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
657,Somewhat Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
659,Somewhat Risk-Averse,wave3,15,0,0,,no_followup,0,0,0,,0,0.0,
662,Somewhat Risk-Seeking,wave2,12,2,74,37.0,ok,3,2,1,3.0,1,2.0,Moderate
663,Somewhat Risk-Seeking,wave3,15,1,13,13.0,ok,1,2,1,1.0,1,1.2,Low
664,Somewhat Risk-Averse,wave1,5,0,0,,no_followup,0,0,0,,0,0.0,
665,Extremely Risk-Seeking,wave3,15,3,16,5.333333333333333,ok,2,1,2,2.0,1,1.6,Moderate
668,Extremely Risk-Averse,wave1,7,3,49,16.333333333333332,ok,3,3,1,1.0,0,1.6,Moderate
671,Extremely Risk-Averse,wave1,7,0,0,,no_followup,0,0,0,,0,0.0,
673,Somewhat Risk-Seeking,wave2,12,0,0,,no_followup,0,0,0,,0,0.0,
684,Extremely Risk-Seeking,wave1,7,1,14,14.0,ok,1,2,2,2.0,1,1.6,Moderate
