participantId,dual_condition,wave,session_id,n_followup_turns,followup_words,length_per_round,status,behavioral,cognitive,emotional,autonomy,social_presence,overall,overall_label
198,dual_nonbiased,wave1,11,1,22,22.0,ok,2,2,2,1.0,1,1.6,Moderate
199,dual_balanced,wave2,14,1,26,26.0,ok,2,2,2,2.0,1,1.8,Moderate
200,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
201,dual_opposition,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
207,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
208,dual_balanced,wave1,11,2,37,18.5,ok,3,3,2,2.0,1,2.2,Moderate
209,dual_balanced,wave2,14,2,30,15.0,ok,3,3,2,2.0,1,2.2,Moderate
211,dual_nonbiased,wave3,17,1,11,11.0,ok,1,1,2,2.0,1,1.4,Low
216,dual_opposition,wave1,11,0,0,,no_followup,0,0,0,,0,0.0,
219,dual_opposition,wave1,10,0,0,,no_followup,0,0,0,,0,0.0,
221,dual_balanced,wave3,17,1,22,22.0,ok,2,2,2,2.0,1,1.8,Moderate
222,dual_balanced,wave3,17,1,8,8.0,ok,1,1,1,1.0,1,1.0,Low
226,dual_balanced,wave2,14,2,45,22.5,ok,3,3,2,2.0,2,2.4,Moderate
227,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
228,dual_balanced,wave1,8,1,18,18.0,ok,2,2,2,1.0,1,1.6,Moderate
230,dual_balanced,wave2,14,1,12,12.0,ok,1,1,1,1.0,1,1.0,Low
231,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
233,dual_nonbiased,wave2,14,1,18,18.0,ok,2,2,2,3.0,1,2.0,Moderate
234,dual_opposition,wave2,14,2,7,3.5,ok,1,1,1,2.0,1,1.2,Low
235,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
237,dual_balanced,wave2,14,2,14,7.0,ok,3,1,1,1.0,0,1.2,Low
239,dual_opposition,wave2,14,1,13,13.0,ok,1,1,2,1.0,1,1.2,Low
242,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
251,dual_balanced,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
252,dual_nonbiased,wave2,14,1,21,21.0,ok,2,2,2,3.0,1,2.0,Moderate
253,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
255,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
256,dual_balanced,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
257,dual_opposition,wave3,17,1,29,29.0,ok,2,2,2,1.0,1,1.6,Moderate
258,dual_balanced,wave2,14,4,62,15.5,ok,3,3,2,2.0,2,2.4,Moderate
259,dual_balanced,wave1,8,1,18,18.0,ok,2,1,1,1.0,1,1.2,Low
260,dual_opposition,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
262,dual_opposition,wave3,17,1,16,16.0,ok,2,2,2,1.0,1,1.6,Moderate
263,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
267,dual_nonbiased,wave2,14,1,16,16.0,ok,2,1,1,1.0,1,1.2,Low
270,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
271,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
272,dual_nonbiased,wave1,8,1,7,7.0,ok,1,1,2,1.0,1,1.2,Low
274,dual_nonbiased,wave3,17,2,16,8.0,ok,3,2,1,1.0,1,1.6,Moderate
276,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
284,dual_nonbiased,wave1,10,0,0,,no_followup,0,0,0,,0,0.0,
286,dual_balanced,wave2,14,1,26,26.0,ok,2,2,2,2.0,1,1.8,Moderate
287,dual_opposition,wave3,17,2,140,70.0,ok,3,3,2,3.0,2,2.6,High
290,dual_nonbiased,wave3,17,1,13,13.0,ok,1,1,1,1.0,0,0.8,Low
291,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
292,dual_opposition,wave2,14,1,60,60.0,ok,2,2,2,2.0,1,1.8,Moderate
294,dual_opposition,wave3,17,3,35,11.666666666666666,ok,3,2,2,3.0,1,2.2,Moderate
296,dual_balanced,wave2,14,1,6,6.0,ok,1,1,2,1.0,0,1.0,Low
297,dual_balanced,wave3,17,1,12,12.0,ok,1,1,1,1.0,0,0.8,Low
302,dual_nonbiased,wave3,17,2,19,9.5,ok,2,1,2,1.0,0,1.2,Low
303,dual_nonbiased,wave2,14,1,10,10.0,ok,1,1,2,3.0,2,1.8,Moderate
304,dual_opposition,wave3,17,2,16,8.0,ok,2,1,1,1.0,1,1.2,Low
305,dual_opposition,wave1,8,4,31,7.75,ok,3,2,2,3.0,1,2.2,Moderate
308,dual_balanced,wave1,10,1,9,9.0,ok,1,1,1,1.0,0,0.8,Low
309,dual_nonbiased,wave1,8,1,16,16.0,ok,2,1,2,1.0,1,1.4,Moderate
318,dual_opposition,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
319,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
320,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
322,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
326,dual_nonbiased,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
328,dual_opposition,wave2,14,1,2,2.0,ok,1,0,3,0.0,2,1.2,Low
332,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
333,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
336,dual_nonbiased,wave2,14,1,4,4.0,ok,1,1,1,1.0,0,0.8,Low
339,dual_opposition,wave1,2,1,10,10.0,ok,1,1,1,2.0,1,1.2,Low
340,dual_opposition,wave1,6,0,0,,no_followup,0,0,0,,0,0.0,
351,dual_balanced,wave1,10,0,0,,no_followup,0,0,0,,0,0.0,
354,dual_nonbiased,wave1,10,1,18,18.0,ok,2,2,1,3.0,1,1.8,Moderate
359,dual_balanced,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
361,dual_opposition,wave1,11,1,6,6.0,ok,1,1,2,1.0,1,1.2,Low
362,dual_balanced,wave3,17,1,8,8.0,ok,1,1,1,1.0,0,0.8,Low
365,dual_balanced,wave3,17,1,15,15.0,ok,2,2,2,2.0,1,1.8,Moderate
366,dual_opposition,wave1,8,1,37,37.0,ok,2,2,2,2.0,1,1.8,Moderate
369,dual_opposition,wave1,10,0,0,,no_followup,0,0,0,,0,0.0,
370,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
373,dual_balanced,wave3,17,2,75,37.5,ok,3,2,2,3.0,2,2.4,Moderate
374,dual_nonbiased,wave1,11,0,0,,no_followup,0,0,0,,0,0.0,
375,dual_balanced,wave2,14,1,14,14.0,ok,1,1,2,1.0,1,1.2,Low
377,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
382,dual_nonbiased,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
383,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
384,dual_balanced,wave2,14,1,9,9.0,ok,1,1,1,2.0,1,1.2,Low
387,dual_opposition,wave2,14,1,32,32.0,ok,2,2,2,2.0,1,1.8,Moderate
390,dual_balanced,wave2,14,1,8,8.0,ok,1,1,1,1.0,0,0.8,Low
400,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
402,dual_balanced,wave3,17,1,14,14.0,ok,1,1,1,1.0,0,0.8,Low
404,dual_balanced,wave3,17,1,18,18.0,ok,2,1,3,1.0,2,1.8,Moderate
405,dual_nonbiased,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
406,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
409,dual_opposition,wave3,17,1,23,23.0,ok,2,2,2,2.0,1,1.8,Moderate
413,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
414,dual_opposition,wave2,14,4,222,55.5,ok,3,3,2,3.0,1,2.4,Moderate
418,dual_nonbiased,wave2,14,1,8,8.0,ok,1,1,1,1.0,0,0.8,Low
419,dual_balanced,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
427,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
428,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
429,dual_balanced,wave2,14,2,13,6.5,ok,2,1,1,2.0,0,1.2,Low
430,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
433,dual_nonbiased,wave1,8,1,4,4.0,ok,1,1,3,1.0,1,1.4,Low
434,dual_balanced,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
444,dual_balanced,wave2,14,2,24,12.0,ok,2,2,2,2.0,1,1.8,Moderate
446,dual_balanced,wave3,17,2,61,30.5,ok,3,3,2,3.0,2,2.6,High
447,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
449,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
450,dual_nonbiased,wave2,14,1,12,12.0,ok,2,2,1,2.0,1,1.6,Moderate
451,dual_nonbiased,wave2,14,2,17,8.5,ok,2,1,1,1.0,0,1.0,Low
458,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
460,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
462,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
467,dual_opposition,wave1,8,1,7,7.0,ok,1,1,1,1.0,0,0.8,Low
468,dual_opposition,wave1,8,1,14,14.0,ok,2,2,1,3.0,0,1.6,Moderate
470,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
473,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
478,dual_opposition,wave3,17,3,93,31.0,ok,3,3,2,3.0,3,2.8,High
480,dual_nonbiased,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
482,dual_opposition,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
485,dual_nonbiased,wave1,8,1,12,12.0,ok,2,1,2,1.0,1,1.4,Low
486,dual_opposition,wave3,17,1,22,22.0,ok,2,2,1,2.0,1,1.6,Moderate
487,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
488,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
489,dual_opposition,wave2,14,1,6,6.0,ok,1,1,2,1.0,1,1.2,Low
491,dual_opposition,wave2,14,1,2,2.0,ok,1,1,1,1.0,0,0.8,Low
492,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
493,dual_balanced,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
496,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
499,dual_nonbiased,wave3,17,1,7,7.0,ok,1,1,1,2.0,1,1.2,Low
500,dual_nonbiased,wave1,8,1,10,10.0,ok,1,1,1,1.0,0,0.8,Low
501,dual_nonbiased,wave3,17,3,90,30.0,ok,3,3,2,3.0,2,2.6,High
503,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
504,dual_nonbiased,wave1,11,0,0,,no_followup,0,0,0,,0,0.0,
507,dual_balanced,wave3,17,1,7,7.0,ok,1,1,2,2.0,0,1.2,Low
508,dual_balanced,wave1,11,2,43,21.5,ok,3,3,2,3.0,1,2.4,Moderate
510,dual_balanced,wave2,14,1,9,9.0,ok,1,2,2,2.0,1,1.6,Moderate
511,dual_opposition,wave3,17,1,8,8.0,ok,1,1,1,2.0,0,1.0,Low
512,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
515,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
517,dual_opposition,wave1,11,2,23,11.5,ok,3,2,1,2.0,1,1.8,Moderate
518,dual_nonbiased,wave2,14,1,52,52.0,ok,2,3,2,3.0,1,2.2,Moderate
521,dual_opposition,wave3,17,1,56,56.0,ok,2,2,2,3.0,2,2.2,Moderate
523,dual_opposition,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
526,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
527,dual_opposition,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
528,dual_opposition,wave1,8,3,18,6.0,ok,3,1,2,1.0,0,1.4,Low
529,dual_nonbiased,wave2,14,1,13,13.0,ok,1,1,1,1.0,0,0.8,Low
530,dual_nonbiased,wave3,17,1,9,9.0,ok,1,1,2,1.0,1,1.2,Low
532,dual_balanced,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
534,dual_balanced,wave1,8,1,14,14.0,ok,2,1,2,1.0,1,1.4,Low
536,dual_balanced,wave2,14,1,11,11.0,ok,1,1,1,1.0,1,1.0,Low
540,dual_balanced,wave3,17,1,30,30.0,ok,2,2,2,3.0,0,1.8,Moderate
542,dual_nonbiased,wave2,14,1,27,27.0,ok,2,2,2,2.0,1,1.8,Moderate
544,dual_balanced,wave1,10,2,30,15.0,ok,3,2,1,2.0,1,1.8,Moderate
550,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
551,dual_opposition,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
553,dual_balanced,wave3,17,1,10,10.0,ok,1,1,2,1.0,0,1.0,Low
556,dual_nonbiased,wave1,6,0,0,,no_followup,0,0,0,,0,0.0,
563,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
565,dual_opposition,wave3,17,1,17,17.0,ok,2,1,1,2.0,1,1.4,Low
566,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
567,dual_balanced,wave3,17,2,27,13.5,ok,3,2,1,1.0,1,1.6,Moderate
569,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
571,dual_opposition,wave3,17,1,18,18.0,ok,2,2,1,3.0,1,1.8,Moderate
577,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
580,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
582,dual_opposition,wave1,8,2,14,7.0,ok,1,1,2,2.0,1,1.4,Low
584,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
586,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
587,dual_nonbiased,wave1,8,2,12,6.0,ok,2,2,2,3.0,1,2.0,Moderate
588,dual_nonbiased,wave1,11,2,21,10.5,ok,3,2,2,1.0,1,1.8,Moderate
590,dual_opposition,wave3,17,3,52,17.333333333333332,ok,3,3,2,2.0,1,2.2,Moderate
593,dual_balanced,wave1,10,1,10,10.0,ok,1,1,1,1.0,0,0.8,Low
594,dual_nonbiased,wave1,8,1,10,10.0,ok,1,2,1,1.0,0,1.0,Low
595,dual_nonbiased,wave1,8,1,10,10.0,ok,1,1,2,1.0,0,1.0,Low
597,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
601,dual_balanced,wave3,17,2,10,5.0,ok,1,1,3,1.0,2,1.6,Low
604,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
608,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
609,dual_balanced,wave3,17,1,8,8.0,ok,1,1,1,1.0,0,0.8,Low
610,dual_opposition,wave3,17,1,7,7.0,ok,1,2,2,2.0,1,1.6,Moderate
612,dual_balanced,wave1,6,0,0,,no_followup,0,0,0,,0,0.0,
614,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
620,dual_opposition,wave3,17,1,2,2.0,ok,1,1,2,0.0,1,1.0,Low
621,dual_balanced,wave2,14,3,85,28.333333333333332,ok,3,3,2,3.0,3,2.8,High
622,dual_opposition,wave1,8,1,24,24.0,ok,2,2,2,1.0,1,1.6,Moderate
623,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
630,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
631,dual_nonbiased,wave1,8,1,15,15.0,ok,2,1,1,1.0,1,1.2,Low
632,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
634,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
635,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
637,dual_nonbiased,wave1,6,1,3,3.0,ok,1,1,1,1.0,1,1.0,Low
638,dual_balanced,wave2,14,1,14,14.0,ok,2,1,2,1.0,1,1.4,Low
646,dual_nonbiased,wave1,8,1,13,13.0,ok,1,1,2,1.0,0,1.0,Low
649,dual_opposition,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
653,dual_balanced,wave2,14,1,10,10.0,ok,1,1,2,1.0,1,1.2,Low
654,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
656,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
658,dual_opposition,wave2,14,1,13,13.0,ok,2,2,1,1.0,0,1.2,Low
660,dual_opposition,wave2,14,1,9,9.0,ok,1,1,1,1.0,0,0.8,Low
661,dual_nonbiased,wave1,8,1,25,25.0,ok,2,3,2,3.0,1,2.2,Moderate
666,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
667,dual_nonbiased,wave2,14,2,11,5.5,ok,2,1,1,1.0,0,1.0,Low
669,dual_nonbiased,wave3,17,2,16,8.0,ok,2,1,2,1.0,1,1.4,Low
672,dual_opposition,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
676,dual_opposition,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
678,dual_balanced,wave2,14,2,28,14.0,ok,2,1,2,2.0,1,1.6,Moderate
679,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
680,dual_opposition,wave3,17,1,10,10.0,ok,1,1,1,1.0,0,0.8,Low
681,dual_balanced,wave3,17,2,66,33.0,ok,3,3,2,3.0,1,2.4,Moderate
682,dual_nonbiased,wave1,10,0,0,,no_followup,0,0,0,,0,0.0,
685,dual_nonbiased,wave2,14,2,13,6.5,ok,2,1,2,1.0,1,1.4,Low
686,dual_balanced,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
687,dual_opposition,wave1,8,2,15,7.5,ok,3,2,1,2.0,0,1.6,Moderate
688,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
691,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
695,dual_opposition,wave1,10,1,10,10.0,ok,1,2,2,3.0,0,1.6,Moderate
698,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
699,dual_opposition,wave1,2,0,0,,no_followup,0,0,0,,0,0.0,
700,dual_nonbiased,wave1,8,1,12,12.0,ok,1,2,2,3.0,1,1.8,Moderate
701,dual_nonbiased,wave2,14,1,12,12.0,ok,1,1,2,1.0,0,1.0,Low
702,dual_balanced,wave2,14,1,7,7.0,ok,1,1,1,1.0,0,0.8,Low
706,dual_balanced,wave2,14,1,12,12.0,ok,1,1,1,1.0,1,1.0,Low
707,dual_opposition,wave2,14,1,14,14.0,ok,1,1,1,1.0,1,1.0,Low
710,dual_nonbiased,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
711,dual_nonbiased,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
714,dual_nonbiased,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
722,dual_balanced,wave3,17,1,15,15.0,ok,2,1,2,1.0,1,1.4,Low
723,dual_nonbiased,wave3,17,1,19,19.0,ok,2,1,2,1.0,0,1.2,Low
731,dual_opposition,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
733,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
734,dual_balanced,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
739,dual_balanced,wave2,14,0,0,,no_followup,0,0,0,,0,0.0,
748,dual_nonbiased,wave2,14,1,4,4.0,ok,1,1,2,1.0,1,1.2,Low
749,dual_nonbiased,wave1,8,0,0,,no_followup,0,0,0,,0,0.0,
752,dual_opposition,wave2,14,1,15,15.0,ok,2,2,1,3.0,0,1.6,Moderate
753,dual_nonbiased,wave2,14,1,14,14.0,ok,2,2,2,1.0,1,1.6,Moderate
756,dual_balanced,wave3,17,0,0,,no_followup,0,0,0,,0,0.0,
757,dual_nonbiased,wave3,17,2,37,18.5,ok,3,2,2,2.0,1,2.0,Moderate
758,dual_nonbiased,wave2,14,3,34,11.333333333333334,ok,2,2,3,3.0,2,2.4,Moderate
