participantId,ai_role
1667,A mix of both a tool and an influencing agent
282,A mix of both a tool and an influencing agent
1972,A mix of both a tool and an influencing agent
53,Mostly as a tool to assist me in making my own determinations
1150,Mostly as a tool to assist me in making my own determinations
1613,Mostly as a tool to assist me in making my own determinations
971,Mostly as a tool to assist me in making my own determinations
744,Primarily as an agent trying to influence or persuade me in making determinations
2182,Mostly as a tool to assist me in making my own determinations
557,Mostly as a tool to assist me in making my own determinations
833,A mix of both a tool and an influencing agent
1843,Primarily as an agent trying to influence or persuade me in making determinations
1203,Primarily as an agent trying to influence or persuade me in making determinations
139,Mostly as a tool to assist me in making my own determinations
555,Primarily as an agent trying to influence or persuade me in making determinations
1392,A mix of both a tool and an influencing agent
1322,Mostly as a tool to assist me in making my own determinations
1480,Mostly as a tool to assist me in making my own determinations
358,Mostly as a tool to assist me in making my own determinations
1966,Primarily as an agent trying to influence or persuade me in making determinations
1374,A mix of both a tool and an influencing agent
1641,Mostly as a tool to assist me in making my own determinations
2374,Mostly as a tool to assist me in making my own determinations
265,Mostly as a tool to assist me in making my own determinations
1632,Mostly as a tool to assist me in making my own determinations
1571,Mostly as a tool to assist me in making my own determinations
1743,A mix of both a tool and an influencing agent
539,Mostly as a tool to assist me in making my own determinations
2288,A mix of both a tool and an influencing agent
1488,Mostly as a tool to assist me in making my own determinations
2106,A mix of both a tool and an influencing agent
1905,A mix of both a tool and an influencing agent
151,A mix of both a tool and an influencing agent
720,A mix of both a tool and an influencing agent
804,Mostly as a tool to assist me in making my own determinations
1591,Mostly as a tool to assist me in making my own determinations
657,Neither as a tool nor as an influencing agent
1198,Unsure
1321,A mix of both a tool and an influencing agent
1876,A mix of both a tool and an influencing agent
1173,Mostly as a tool to assist me in making my own determinations
785,Mostly as a tool to assist me in making my own determinations
448,A mix of both a tool and an influencing agent
835,A mix of both a tool and an influencing agent
2063,A mix of both a tool and an influencing agent
1678,A mix of both a tool and an influencing agent
1019,Mostly as a tool to assist me in making my own determinations
815,Mostly as a tool to assist me in making my own determinations
2291,Mostly as a tool to assist me in making my own determinations
191,Neither as a tool nor as an influencing agent
1599,A mix of both a tool and an influencing agent
307,Mostly as a tool to assist me in making my own determinations
269,A mix of both a tool and an influencing agent
964,Mostly as a tool to assist me in making my own determinations
1572,Primarily as an agent trying to influence or persuade me in making determinations
2301,A mix of both a tool and an influencing agent
2314,Neither as a tool nor as an influencing agent
1128,Mostly as a tool to assist me in making my own determinations
13,Mostly as a tool to assist me in making my own determinations
1000,Mostly as a tool to assist me in making my own determinations
314,A mix of both a tool and an influencing agent
1902,A mix of both a tool and an influencing agent
195,A mix of both a tool and an influencing agent
1102,Neither as a tool nor as an influencing agent
1526,A mix of both a tool and an influencing agent
736,A mix of both a tool and an influencing agent
1397,A mix of both a tool and an influencing agent
579,Mostly as a tool to assist me in making my own determinations
2006,Mostly as a tool to assist me in making my own determinations
324,A mix of both a tool and an influencing agent
1986,Mostly as a tool to assist me in making my own determinations
947,Primarily as an agent trying to influence or persuade me in making determinations
2008,Mostly as a tool to assist me in making my own determinations
2060,A mix of both a tool and an influencing agent
87,Mostly as a tool to assist me in making my own determinations
559,Mostly as a tool to assist me in making my own determinations
206,Primarily as an agent trying to influence or persuade me in making determinations
863,Mostly as a tool to assist me in making my own determinations
684,Primarily as an agent trying to influence or persuade me in making determinations
903,Primarily as an agent trying to influence or persuade me in making determinations
278,Mostly as a tool to assist me in making my own determinations
1576,A mix of both a tool and an influencing agent
327,A mix of both a tool and an influencing agent
949,Mostly as a tool to assist me in making my own determinations
2262,A mix of both a tool and an influencing agent
1676,Mostly as a tool to assist me in making my own determinations
1779,Neither as a tool nor as an influencing agent
1498,Mostly as a tool to assist me in making my own determinations
782,Mostly as a tool to assist me in making my own determinations
1721,Primarily as an agent trying to influence or persuade me in making determinations
1080,Mostly as a tool to assist me in making my own determinations
311,Mostly as a tool to assist me in making my own determinations
2088,A mix of both a tool and an influencing agent
1440,Mostly as a tool to assist me in making my own determinations
484,Mostly as a tool to assist me in making my own determinations
2116,Mostly as a tool to assist me in making my own determinations
2361,Primarily as an agent trying to influence or persuade me in making determinations
1645,Mostly as a tool to assist me in making my own determinations
1569,Mostly as a tool to assist me in making my own determinations
2337,A mix of both a tool and an influencing agent
2057,A mix of both a tool and an influencing agent
915,Neither as a tool nor as an influencing agent
1987,A mix of both a tool and an influencing agent
1711,Mostly as a tool to assist me in making my own determinations
2408,Primarily as an agent trying to influence or persuade me in making determinations
1191,Primarily as an agent trying to influence or persuade me in making determinations
1846,Mostly as a tool to assist me in making my own determinations
498,Mostly as a tool to assist me in making my own determinations
461,A mix of both a tool and an influencing agent
1727,Mostly as a tool to assist me in making my own determinations
2406,A mix of both a tool and an influencing agent
1021,A mix of both a tool and an influencing agent
343,A mix of both a tool and an influencing agent
1450,Mostly as a tool to assist me in making my own determinations
101,A mix of both a tool and an influencing agent
668,Mostly as a tool to assist me in making my own determinations
519,A mix of both a tool and an influencing agent
153,A mix of both a tool and an influencing agent
2249,A mix of both a tool and an influencing agent
140,Primarily as an agent trying to influence or persuade me in making determinations
2256,A mix of both a tool and an influencing agent
40,A mix of both a tool and an influencing agent
1294,Mostly as a tool to assist me in making my own determinations
513,A mix of both a tool and an influencing agent
2241,A mix of both a tool and an influencing agent
1419,Primarily as an agent trying to influence or persuade me in making determinations
452,Mostly as a tool to assist me in making my own determinations
2075,Primarily as an agent trying to influence or persuade me in making determinations
1784,Mostly as a tool to assist me in making my own determinations
58,A mix of both a tool and an influencing agent
1559,Mostly as a tool to assist me in making my own determinations
696,A mix of both a tool and an influencing agent
1394,Neither as a tool nor as an influencing agent
967,Mostly as a tool to assist me in making my own determinations
692,Primarily as an agent trying to influence or persuade me in making determinations
709,A mix of both a tool and an influencing agent
2188,Mostly as a tool to assist me in making my own determinations
1059,Mostly as a tool to assist me in making my own determinations
976,Primarily as an agent trying to influence or persuade me in making determinations
2388,Mostly as a tool to assist me in making my own determinations
129,Mostly as a tool to assist me in making my own determinations
1942,Mostly as a tool to assist me in making my own determinations
1849,Mostly as a tool to assist me in making my own determinations
416,Mostly as a tool to assist me in making my own determinations
380,A mix of both a tool and an influencing agent
1302,Mostly as a tool to assist me in making my own determinations
117,Mostly as a tool to assist me in making my own determinations
334,Primarily as an agent trying to influence or persuade me in making determinations
1689,A mix of both a tool and an influencing agent
2322,Neither as a tool nor as an influencing agent
531,Mostly as a tool to assist me in making my own determinations
1441,Mostly as a tool to assist me in making my own determinations
1223,Mostly as a tool to assist me in making my own determinations
1119,Mostly as a tool to assist me in making my own determinations
250,Primarily as an agent trying to influence or persuade me in making determinations
1137,Mostly as a tool to assist me in making my own determinations
639,A mix of both a tool and an influencing agent
232,A mix of both a tool and an influencing agent
223,Primarily as an agent trying to influence or persuade me in making determinations
376,Mostly as a tool to assist me in making my own determinations
457,Primarily as an agent trying to influence or persuade me in making determinations
1778,A mix of both a tool and an influencing agent
1738,A mix of both a tool and an influencing agent
2274,Primarily as an agent trying to influence or persuade me in making determinations
1341,Mostly as a tool to assist me in making my own determinations
846,Mostly as a tool to assist me in making my own determinations
162,Mostly as a tool to assist me in making my own determinations
2078,Primarily as an agent trying to influence or persuade me in making determinations
2325,Mostly as a tool to assist me in making my own determinations
2208,Primarily as an agent trying to influence or persuade me in making determinations
1587,Primarily as an agent trying to influence or persuade me in making determinations
1160,Primarily as an agent trying to influence or persuade me in making determinations
613,A mix of both a tool and an influencing agent
662,A mix of both a tool and an influencing agent
315,A mix of both a tool and an influencing agent
215,Mostly as a tool to assist me in making my own determinations
1887,A mix of both a tool and an influencing agent
2020,A mix of both a tool and an influencing agent
585,Mostly as a tool to assist me in making my own determinations
1733,A mix of both a tool and an influencing agent
781,A mix of both a tool and an influencing agent
131,Primarily as an agent trying to influence or persuade me in making determinations
2231,A mix of both a tool and an influencing agent
2153,Mostly as a tool to assist me in making my own determinations
331,A mix of both a tool and an influencing agent
1135,A mix of both a tool and an influencing agent
1105,A mix of both a tool and an influencing agent
490,Mostly as a tool to assist me in making my own determinations
80,A mix of both a tool and an influencing agent
8,Mostly as a tool to assist me in making my own determinations
439,Mostly as a tool to assist me in making my own determinations
1179,A mix of both a tool and an influencing agent
2179,Mostly as a tool to assist me in making my own determinations
1505,A mix of both a tool and an influencing agent
90,A mix of both a tool and an influencing agent
1857,Mostly as a tool to assist me in making my own determinations
645,A mix of both a tool and an influencing agent
1050,Mostly as a tool to assist me in making my own determinations
157,A mix of both a tool and an influencing agent
933,A mix of both a tool and an influencing agent
1548,A mix of both a tool and an influencing agent
1438,Mostly as a tool to assist me in making my own determinations
2402,Mostly as a tool to assist me in making my own determinations
364,A mix of both a tool and an influencing agent
2183,A mix of both a tool and an influencing agent
1581,A mix of both a tool and an influencing agent
505,Mostly as a tool to assist me in making my own determinations
1030,A mix of both a tool and an influencing agent
1132,Mostly as a tool to assist me in making my own determinations
1458,A mix of both a tool and an influencing agent
2097,A mix of both a tool and an influencing agent
1033,A mix of both a tool and an influencing agent
1470,Mostly as a tool to assist me in making my own determinations
1058,Primarily as an agent trying to influence or persuade me in making determinations
953,Primarily as an agent trying to influence or persuade me in making determinations
1724,A mix of both a tool and an influencing agent
2348,Mostly as a tool to assist me in making my own determinations
295,A mix of both a tool and an influencing agent
1923,Mostly as a tool to assist me in making my own determinations
1273,A mix of both a tool and an influencing agent
1584,Mostly as a tool to assist me in making my own determinations
1786,A mix of both a tool and an influencing agent
2175,Mostly as a tool to assist me in making my own determinations
2005,A mix of both a tool and an influencing agent
1234,Mostly as a tool to assist me in making my own determinations
281,A mix of both a tool and an influencing agent
1200,A mix of both a tool and an influencing agent
1502,A mix of both a tool and an influencing agent
1634,Primarily as an agent trying to influence or persuade me in making determinations
1001,Primarily as an agent trying to influence or persuade me in making determinations
210,Primarily as an agent trying to influence or persuade me in making determinations
2271,A mix of both a tool and an influencing agent
43,A mix of both a tool and an influencing agent
938,A mix of both a tool and an influencing agent
2069,Mostly as a tool to assist me in making my own determinations
398,Neither as a tool nor as an influencing agent
2053,A mix of both a tool and an influencing agent
2389,Mostly as a tool to assist me in making my own determinations
1913,Mostly as a tool to assist me in making my own determinations
197,Primarily as an agent trying to influence or persuade me in making determinations
1170,Mostly as a tool to assist me in making my own determinations
2094,Primarily as an agent trying to influence or persuade me in making determinations
993,Mostly as a tool to assist me in making my own determinations
1885,A mix of both a tool and an influencing agent
919,A mix of both a tool and an influencing agent
538,Mostly as a tool to assist me in making my own determinations
589,Mostly as a tool to assist me in making my own determinations
2032,A mix of both a tool and an influencing agent
940,A mix of both a tool and an influencing agent
926,A mix of both a tool and an influencing agent
906,A mix of both a tool and an influencing agent
743,Mostly as a tool to assist me in making my own determinations
1506,Mostly as a tool to assist me in making my own determinations
161,Mostly as a tool to assist me in making my own determinations
732,Primarily as an agent trying to influence or persuade me in making determinations
2395,A mix of both a tool and an influencing agent
779,Mostly as a tool to assist me in making my own determinations
773,A mix of both a tool and an influencing agent
1229,Mostly as a tool to assist me in making my own determinations
2253,A mix of both a tool and an influencing agent
1550,Mostly as a tool to assist me in making my own determinations
913,Mostly as a tool to assist me in making my own determinations
2130,Mostly as a tool to assist me in making my own determinations
2275,Primarily as an agent trying to influence or persuade me in making determinations
2362,Primarily as an agent trying to influence or persuade me in making determinations
1917,A mix of both a tool and an influencing agent
1919,A mix of both a tool and an influencing agent
570,Mostly as a tool to assist me in making my own determinations
2124,A mix of both a tool and an influencing agent
220,Mostly as a tool to assist me in making my own determinations
395,A mix of both a tool and an influencing agent
403,A mix of both a tool and an influencing agent
1551,A mix of both a tool and an influencing agent
1517,Primarily as an agent trying to influence or persuade me in making determinations
895,Neither as a tool nor as an influencing agent
244,A mix of both a tool and an influencing agent
2126,A mix of both a tool and an influencing agent
854,Neither as a tool nor as an influencing agent
1940,Mostly as a tool to assist me in making my own determinations
1005,Mostly as a tool to assist me in making my own determinations
147,Mostly as a tool to assist me in making my own determinations
2252,Neither as a tool nor as an influencing agent
356,Mostly as a tool to assist me in making my own determinations
673,A mix of both a tool and an influencing agent
2330,A mix of both a tool and an influencing agent
1467,A mix of both a tool and an influencing agent
861,A mix of both a tool and an influencing agent
135,Primarily as an agent trying to influence or persuade me in making determinations
599,A mix of both a tool and an influencing agent
1594,Mostly as a tool to assist me in making my own determinations
1544,Mostly as a tool to assist me in making my own determinations
509,Neither as a tool nor as an influencing agent
335,A mix of both a tool and an influencing agent
2310,Mostly as a tool to assist me in making my own determinations
2258,Mostly as a tool to assist me in making my own determinations
1461,Mostly as a tool to assist me in making my own determinations
107,A mix of both a tool and an influencing agent
273,A mix of both a tool and an influencing agent
2386,A mix of both a tool and an influencing agent
1660,A mix of both a tool and an influencing agent
1841,Mostly as a tool to assist me in making my own determinations
1351,A mix of both a tool and an influencing agent
979,Mostly as a tool to assist me in making my own determinations
1469,Primarily as an agent trying to influence or persuade me in making determinations
1209,Mostly as a tool to assist me in making my own determinations
1238,Mostly as a tool to assist me in making my own determinations
300,Mostly as a tool to assist me in making my own determinations
1096,Neither as a tool nor as an influencing agent
1732,Mostly as a tool to assist me in making my own determinations
741,A mix of both a tool and an influencing agent
1789,Primarily as an agent trying to influence or persuade me in making determinations
1447,A mix of both a tool and an influencing agent
1623,Mostly as a tool to assist me in making my own determinations
248,Primarily as an agent trying to influence or persuade me in making determinations
392,Mostly as a tool to assist me in making my own determinations
1111,A mix of both a tool and an influencing agent
495,A mix of both a tool and an influencing agent
1456,Neither as a tool nor as an influencing agent
944,Primarily as an agent trying to influence or persuade me in making determinations
2223,Mostly as a tool to assist me in making my own determinations
2103,Mostly as a tool to assist me in making my own determinations
1123,Mostly as a tool to assist me in making my own determinations
279,Mostly as a tool to assist me in making my own determinations
578,A mix of both a tool and an influencing agent
317,Mostly as a tool to assist me in making my own determinations
1782,Mostly as a tool to assist me in making my own determinations
218,Mostly as a tool to assist me in making my own determinations
830,Primarily as an agent trying to influence or persuade me in making determinations
1462,A mix of both a tool and an influencing agent
1955,A mix of both a tool and an influencing agent
894,A mix of both a tool and an influencing agent
3,Mostly as a tool to assist me in making my own determinations
902,Mostly as a tool to assist me in making my own determinations
213,A mix of both a tool and an influencing agent
1781,Primarily as an agent trying to influence or persuade me in making determinations
973,A mix of both a tool and an influencing agent
280,Mostly as a tool to assist me in making my own determinations
477,Mostly as a tool to assist me in making my own determinations
1767,A mix of both a tool and an influencing agent
1817,Mostly as a tool to assist me in making my own determinations
735,Mostly as a tool to assist me in making my own determinations
388,A mix of both a tool and an influencing agent
2282,Mostly as a tool to assist me in making my own determinations
802,Primarily as an agent trying to influence or persuade me in making determinations
399,A mix of both a tool and an influencing agent
2090,Neither as a tool nor as an influencing agent
1624,Primarily as an agent trying to influence or persuade me in making determinations
29,Neither as a tool nor as an influencing agent
7,A mix of both a tool and an influencing agent
1108,Primarily as an agent trying to influence or persuade me in making determinations
1670,Mostly as a tool to assist me in making my own determinations
1308,A mix of both a tool and an influencing agent
1791,A mix of both a tool and an influencing agent
1746,A mix of both a tool and an influencing agent
1607,A mix of both a tool and an influencing agent
1952,A mix of both a tool and an influencing agent
1766,Primarily as an agent trying to influence or persuade me in making determinations
1118,Mostly as a tool to assist me in making my own determinations
424,A mix of both a tool and an influencing agent
1714,Primarily as an agent trying to influence or persuade me in making determinations
803,A mix of both a tool and an influencing agent
1177,A mix of both a tool and an influencing agent
972,Primarily as an agent trying to influence or persuade me in making determinations
1658,A mix of both a tool and an influencing agent
65,A mix of both a tool and an influencing agent
642,Mostly as a tool to assist me in making my own determinations
1622,A mix of both a tool and an influencing agent
724,A mix of both a tool and an influencing agent
204,Mostly as a tool to assist me in making my own determinations
1354,A mix of both a tool and an influencing agent
951,A mix of both a tool and an influencing agent
1336,A mix of both a tool and an influencing agent
793,A mix of both a tool and an influencing agent
1479,Primarily as an agent trying to influence or persuade me in making determinations
1078,A mix of both a tool and an influencing agent
1829,A mix of both a tool and an influencing agent
1504,Mostly as a tool to assist me in making my own determinations
1930,Mostly as a tool to assist me in making my own determinations
1049,A mix of both a tool and an influencing agent
20,Mostly as a tool to assist me in making my own determinations
1256,Mostly as a tool to assist me in making my own determinations
603,Mostly as a tool to assist me in making my own determinations
880,A mix of both a tool and an influencing agent
2224,Mostly as a tool to assist me in making my own determinations
128,Mostly as a tool to assist me in making my own determinations
1348,Primarily as an agent trying to influence or persuade me in making determinations
1585,A mix of both a tool and an influencing agent
1901,Mostly as a tool to assist me in making my own determinations
1122,Primarily as an agent trying to influence or persuade me in making determinations
1977,Primarily as an agent trying to influence or persuade me in making determinations
126,Mostly as a tool to assist me in making my own determinations
882,Mostly as a tool to assist me in making my own determinations
1384,Primarily as an agent trying to influence or persuade me in making determinations
627,Primarily as an agent trying to influence or persuade me in making determinations
1964,Primarily as an agent trying to influence or persuade me in making determinations
730,A mix of both a tool and an influencing agent
1565,Neither as a tool nor as an influencing agent
247,A mix of both a tool and an influencing agent
1439,Primarily as an agent trying to influence or persuade me in making determinations
1484,Neither as a tool nor as an influencing agent
1045,Neither as a tool nor as an influencing agent
1610,Primarily as an agent trying to influence or persuade me in making determinations
397,A mix of both a tool and an influencing agent
236,Mostly as a tool to assist me in making my own determinations
2237,A mix of both a tool and an influencing agent
1730,A mix of both a tool and an influencing agent
426,Mostly as a tool to assist me in making my own determinations
576,A mix of both a tool and an influencing agent
1220,A mix of both a tool and an influencing agent
325,A mix of both a tool and an influencing agent
1531,Neither as a tool nor as an influencing agent
1337,A mix of both a tool and an influencing agent
1890,Primarily as an agent trying to influence or persuade me in making determinations
2104,Mostly as a tool to assist me in making my own determinations
345,A mix of both a tool and an influencing agent
1567,A mix of both a tool and an influencing agent
1464,Mostly as a tool to assist me in making my own determinations
1386,A mix of both a tool and an influencing agent
437,Mostly as a tool to assist me in making my own determinations
78,A mix of both a tool and an influencing agent
633,A mix of both a tool and an influencing agent
917,Mostly as a tool to assist me in making my own determinations
1825,A mix of both a tool and an influencing agent
1100,Mostly as a tool to assist me in making my own determinations
1931,Mostly as a tool to assist me in making my own determinations
689,Mostly as a tool to assist me in making my own determinations
814,Mostly as a tool to assist me in making my own determinations
1048,Mostly as a tool to assist me in making my own determinations
1929,A mix of both a tool and an influencing agent
2099,A mix of both a tool and an influencing agent
2279,Mostly as a tool to assist me in making my own determinations
1523,Neither as a tool nor as an influencing agent
355,A mix of both a tool and an influencing agent
2,Mostly as a tool to assist me in making my own determinations
2255,Mostly as a tool to assist me in making my own determinations
2405,Mostly as a tool to assist me in making my own determinations
694,Mostly as a tool to assist me in making my own determinations
721,Mostly as a tool to assist me in making my own determinations
116,Mostly as a tool to assist me in making my own determinations
1558,Mostly as a tool to assist me in making my own determinations
350,A mix of both a tool and an influencing agent
1172,Mostly as a tool to assist me in making my own determinations
1873,Primarily as an agent trying to influence or persuade me in making determinations
2169,Mostly as a tool to assist me in making my own determinations
942,Mostly as a tool to assist me in making my own determinations
636,Mostly as a tool to assist me in making my own determinations
2030,A mix of both a tool and an influencing agent
1417,A mix of both a tool and an influencing agent
2050,Primarily as an agent trying to influence or persuade me in making determinations
1165,Mostly as a tool to assist me in making my own determinations
545,A mix of both a tool and an influencing agent
1768,A mix of both a tool and an influencing agent
561,A mix of both a tool and an influencing agent
