ExperimentType,UID,NID,PrePerformance,PostPerformance,PerceivedImproveCode,AIInterMean,UStanceLabel,UIdeo,AICorrectness
Single_AI_Non_Biased,711,18,0.8,0.5,4,Very meaningful,Somewhat Democrat,Liberal,0.5
Single_AI_Non_Biased,750,2,0.30000000000000004,0.8,3,Slightly meaningful,Strong Democrat,Liberal,1
Single_AI_Non_Biased,750,11,0.30000000000000004,0.09999999999999998,3,Slightly meaningful,Strong Democrat,Liberal,0.3
Single_AI_Non_Biased,750,13,0.7,0.9,3,Slightly meaningful,Strong Democrat,Liberal,1
Single_AI_Non_Biased,753,4,0.8,0.9,5,Extremely meaningful,Independent,Slightly conservative,1
Single_AI_Non_Biased,753,8,1,1,5,Extremely meaningful,Independent,Slightly conservative,1
Single_AI_Non_Biased,753,14,0,0.9,5,Extremely meaningful,Independent,Slightly conservative,1
Single_AI_Non_Biased,759,5,0.7,1,4,Moderately meaningful,Strong Democrat,Extremely liberal,1
Single_AI_Non_Biased,759,10,0.19999999999999996,0,4,Moderately meaningful,Strong Democrat,Extremely liberal,0
Single_AI_Non_Biased,759,18,0.8,0.6,4,Moderately meaningful,Strong Democrat,Extremely liberal,0.5
Single_AI_Non_Biased,783,2,0.8,1,5,Very meaningful,Somewhat Republican,Slightly conservative,1
Single_AI_Non_Biased,783,11,0.9,0.09999999999999998,5,Very meaningful,Somewhat Republican,Slightly conservative,0.1999999999999999
Single_AI_Non_Biased,783,14,0.5,0.5,5,Very meaningful,Somewhat Republican,Slightly conservative,1
Single_AI_Non_Biased,810,1,0.7,0.5,2,Moderately meaningful,Strong Republican,Extremely conservative,0.5
Single_AI_Non_Biased,810,8,0.7,1,2,Moderately meaningful,Strong Republican,Extremely conservative,1
Single_AI_Non_Biased,810,16,0.19999999999999996,1,2,Moderately meaningful,Strong Republican,Extremely conservative,0.7
Single_AI_Non_Biased,816,3,0.30000000000000004,0,5,Extremely meaningful,Strong Republican,Conservative,0
Single_AI_Non_Biased,816,8,0.5,1,5,Extremely meaningful,Strong Republican,Conservative,1
Single_AI_Non_Biased,816,13,1,1,5,Extremely meaningful,Strong Republican,Conservative,1
Single_AI_Non_Biased,837,5,0.6,0.6,3,Moderately meaningful,Independent,Moderate,1
Single_AI_Non_Biased,837,10,1,1,3,Moderately meaningful,Independent,Moderate,0
Single_AI_Non_Biased,837,18,1,0.7,3,Moderately meaningful,Independent,Moderate,0.8
Single_AI_Non_Biased,858,3,0.5,0,4,Extremely meaningful,Strong Republican,Conservative,0
Single_AI_Non_Biased,858,10,0.09999999999999998,0,4,Extremely meaningful,Strong Republican,Conservative,0
Single_AI_Non_Biased,858,14,0.19999999999999996,0.9,4,Extremely meaningful,Strong Republican,Conservative,0.9
Single_AI_Non_Biased,876,2,1,1,2,Extremely meaningful,Independent,Moderate,1
Single_AI_Non_Biased,876,10,0.19999999999999996,0,2,Extremely meaningful,Independent,Moderate,1
Single_AI_Non_Biased,876,14,0.6,1,2,Extremely meaningful,Independent,Moderate,1
Single_AI_Non_Biased,900,3,0.19999999999999996,0.09999999999999998,5,Extremely meaningful,Strong Republican,Extremely conservative,1
Single_AI_Non_Biased,900,9,0.7,0.9,5,Extremely meaningful,Strong Republican,Extremely conservative,1
Single_AI_Non_Biased,900,18,1,0.6,5,Extremely meaningful,Strong Republican,Extremely conservative,0.5
Single_AI_Non_Biased,915,6,0.19999999999999996,0.5,2,Slightly meaningful,Independent,Slightly conservative,1
Single_AI_Non_Biased,915,7,0.9,0.5,2,Slightly meaningful,Independent,Slightly conservative,0.0999999999999999
Single_AI_Non_Biased,915,17,0.09999999999999998,0.09999999999999998,2,Slightly meaningful,Independent,Slightly conservative,0.5
Single_AI_Non_Biased,957,6,0.5,0.30000000000000004,4,Very meaningful,Independent,Slightly liberal,1
Single_AI_Non_Biased,957,11,0.09999999999999998,0,4,Very meaningful,Independent,Slightly liberal,0.1999999999999999
Single_AI_Non_Biased,957,16,1,1,4,Very meaningful,Independent,Slightly liberal,0.7
Single_AI_Non_Biased,963,4,0.09999999999999998,0.9,4,Moderately meaningful,Independent,Liberal,1
Single_AI_Non_Biased,963,11,0,0,4,Moderately meaningful,Independent,Liberal,0.5
Single_AI_Non_Biased,963,13,0.9,1,4,Moderately meaningful,Independent,Liberal,1
Single_AI_Non_Biased,1011,2,1,1,5,Extremely meaningful,Strong Republican,Extremely conservative,1
Single_AI_Non_Biased,1011,8,0,1,5,Extremely meaningful,Strong Republican,Extremely conservative,1
Single_AI_Non_Biased,1011,17,0,1,5,Extremely meaningful,Strong Republican,Extremely conservative,0.5
Single_AI_Non_Biased,1014,3,0.5,0.5,2,Moderately meaningful,Strong Republican,Conservative,0
Single_AI_Non_Biased,1014,9,0.30000000000000004,0.6,2,Moderately meaningful,Strong Republican,Conservative,1
Single_AI_Non_Biased,1014,17,0.6,0.6,2,Moderately meaningful,Strong Republican,Conservative,0.5
Single_AI_Non_Biased,1029,5,0.7,0.6,5,Extremely meaningful,Strong Democrat,Liberal,1
Single_AI_Non_Biased,1029,9,0.9,1,5,Extremely meaningful,Strong Democrat,Liberal,1
Single_AI_Non_Biased,1029,16,0.09999999999999998,0.09999999999999998,5,Extremely meaningful,Strong Democrat,Liberal,0.5
Single_AI_Non_Biased,1035,1,1,0.8,4,Very meaningful,Independent,Slightly liberal,0.7
Single_AI_Non_Biased,1035,11,1,0,4,Very meaningful,Independent,Slightly liberal,0.5
Single_AI_Non_Biased,1035,16,0.8,1,4,Very meaningful,Independent,Slightly liberal,1
Single_AI_Non_Biased,1056,4,0.5,1,5,Extremely meaningful,Independent,Liberal,1
Single_AI_Non_Biased,1056,8,0.7,1,5,Extremely meaningful,Independent,Liberal,1
Single_AI_Non_Biased,1056,17,0.5,0.19999999999999996,5,Extremely meaningful,Independent,Liberal,0.5
Single_AI_Non_Biased,1068,3,0.19999999999999996,0,3,Moderately meaningful,Independent,Moderate,0
Single_AI_Non_Biased,1068,10,1,0,3,Moderately meaningful,Independent,Moderate,0
Single_AI_Non_Biased,1068,16,0,0.5,3,Moderately meaningful,Independent,Moderate,0.5
Single_AI_Non_Biased,1071,6,0.4,0.9,5,Extremely meaningful,Somewhat Republican,Slightly conservative,0.9
Single_AI_Non_Biased,1071,12,0.8,0.5,5,Extremely meaningful,Somewhat Republican,Slightly conservative,0.5
Single_AI_Non_Biased,1071,15,0.5,0.09999999999999998,5,Extremely meaningful,Somewhat Republican,Slightly conservative,0
Single_AI_Non_Biased,1074,2,0.30000000000000004,1,4,Very meaningful,Independent,Slightly conservative,1
Single_AI_Non_Biased,1074,7,0.5,0,4,Very meaningful,Independent,Slightly conservative,0
Single_AI_Non_Biased,1074,15,0,0,4,Very meaningful,Independent,Slightly conservative,0
Single_AI_Non_Biased,1101,4,0.09999999999999998,0.09999999999999998,3,Moderately meaningful,Somewhat Democrat,Slightly liberal,1
Single_AI_Non_Biased,1101,7,0.5,0.19999999999999996,3,Moderately meaningful,Somewhat Democrat,Slightly liberal,0
Single_AI_Non_Biased,1101,16,0.9,0.9,3,Moderately meaningful,Somewhat Democrat,Slightly liberal,0.7
Single_AI_Non_Biased,1107,5,0.6,1,3,Moderately meaningful,Strong Democrat,Liberal,1
Single_AI_Non_Biased,1107,8,0.5,0.9,3,Moderately meaningful,Strong Democrat,Liberal,1
Single_AI_Non_Biased,1107,15,0.5,0.8,3,Moderately meaningful,Strong Democrat,Liberal,0
Single_AI_Non_Biased,1125,5,0.5,0.5,1,Not meaningful at all,Strong Republican,Conservative,1
Single_AI_Non_Biased,1125,7,0.5,0.5,1,Not meaningful at all,Strong Republican,Conservative,0
Single_AI_Non_Biased,1125,16,0.5,0.5,1,Not meaningful at all,Strong Republican,Conservative,0.5
Single_AI_Non_Biased,1146,6,0.5,0.7,3,Moderately meaningful,Independent,Slightly conservative,1
Single_AI_Non_Biased,1146,10,0,0,3,Moderately meaningful,Independent,Slightly conservative,0.9
Single_AI_Non_Biased,1146,14,0.9,1,3,Moderately meaningful,Independent,Slightly conservative,1
Single_AI_Non_Biased,1149,1,1,0.7,3,Moderately meaningful,Strong Democrat,Extremely liberal,0.5
Single_AI_Non_Biased,1149,11,0.5,0.8,3,Moderately meaningful,Strong Democrat,Extremely liberal,0.1999999999999999
Single_AI_Non_Biased,1149,16,0.5,0.8,3,Moderately meaningful,Strong Democrat,Extremely liberal,0.7
Single_AI_Non_Biased,1152,2,0.9,1,4,Very meaningful,Strong Republican,Conservative,1
Single_AI_Non_Biased,1152,7,0.8,0.19999999999999996,4,Very meaningful,Strong Republican,Conservative,0
Single_AI_Non_Biased,1152,13,1,1,4,Very meaningful,Strong Republican,Conservative,0.0999999999999999
Single_AI_Non_Biased,1200,3,0,0,4,Extremely meaningful,Somewhat Democrat,Liberal,0
Single_AI_Non_Biased,1200,11,0.09999999999999998,0,4,Extremely meaningful,Somewhat Democrat,Liberal,0.5
Single_AI_Non_Biased,1200,17,0.09999999999999998,0.8,4,Extremely meaningful,Somewhat Democrat,Liberal,0.5
Single_AI_Non_Biased,1311,5,0.8,1,4,Very meaningful,Somewhat Republican,Slightly conservative,1
Single_AI_Non_Biased,1311,11,0,0.09999999999999998,4,Very meaningful,Somewhat Republican,Slightly conservative,0.3
Single_AI_Non_Biased,1311,16,0.30000000000000004,0.9,4,Very meaningful,Somewhat Republican,Slightly conservative,0.5
Single_AI_Non_Biased,1320,4,0.19999999999999996,0.9,5,Extremely meaningful,Strong Republican,Extremely conservative,1
Single_AI_Non_Biased,1320,12,0.9,1,5,Extremely meaningful,Strong Republican,Extremely conservative,0.8
Single_AI_Non_Biased,1320,15,1,0,5,Extremely meaningful,Strong Republican,Extremely conservative,0
Single_AI_Non_Biased,1323,1,1,0.6,4,Slightly meaningful,Somewhat Republican,Conservative,0.5
Single_AI_Non_Biased,1323,9,0.30000000000000004,0.6,4,Slightly meaningful,Somewhat Republican,Conservative,1
Single_AI_Non_Biased,1323,13,0.8,1,4,Slightly meaningful,Somewhat Republican,Conservative,0.9
Single_AI_Non_Biased,1338,4,0.5,0.8,3,Moderately meaningful,Strong Republican,Slightly liberal,1
Single_AI_Non_Biased,1338,7,0.7,0.19999999999999996,3,Moderately meaningful,Strong Republican,Slightly liberal,0
Single_AI_Non_Biased,1338,17,0.19999999999999996,0.30000000000000004,3,Moderately meaningful,Strong Republican,Slightly liberal,0.5
Single_AI_Non_Biased,1347,4,0.19999999999999996,0.9,4,Moderately meaningful,Somewhat Democrat,Slightly liberal,1
Single_AI_Non_Biased,1347,12,0.8,0.19999999999999996,4,Moderately meaningful,Somewhat Democrat,Slightly liberal,0.5
Single_AI_Non_Biased,1347,15,0.5,0.19999999999999996,4,Moderately meaningful,Somewhat Democrat,Slightly liberal,0
Single_AI_Non_Biased,1359,1,0.8,0.7,4,Very meaningful,Independent,Slightly liberal,0.8
Single_AI_Non_Biased,1359,8,0.5,0.8,4,Very meaningful,Independent,Slightly liberal,1
Single_AI_Non_Biased,1359,15,0.5,0.7,4,Very meaningful,Independent,Slightly liberal,0.5
Single_AI_Non_Biased,1371,2,0.7,0.7,3,Moderately meaningful,Independent,Moderate,1
Single_AI_Non_Biased,1371,9,0.5,0.6,3,Moderately meaningful,Independent,Moderate,1
Single_AI_Non_Biased,1371,16,0,1,3,Moderately meaningful,Independent,Moderate,1
Single_AI_Non_Biased,1392,2,0.7,0.9,4,Moderately meaningful,Independent,Slightly liberal,1
Single_AI_Non_Biased,1392,9,1,1,4,Moderately meaningful,Independent,Slightly liberal,1
Single_AI_Non_Biased,1392,16,0.8,1,4,Moderately meaningful,Independent,Slightly liberal,0.5
Single_AI_Non_Biased,1431,3,0.5,0.09999999999999998,5,Very meaningful,Strong Democrat,Liberal,0
Single_AI_Non_Biased,1431,10,0.19999999999999996,0,5,Very meaningful,Strong Democrat,Liberal,0
Single_AI_Non_Biased,1431,17,0.09999999999999998,0.19999999999999996,5,Very meaningful,Strong Democrat,Liberal,0.5
Single_AI_Non_Biased,1437,2,0.19999999999999996,0,1,Not meaningful at all,Strong Democrat,Extremely liberal,1
Single_AI_Non_Biased,1437,9,1,1,1,Not meaningful at all,Strong Democrat,Extremely liberal,1
Single_AI_Non_Biased,1437,16,0.7,1,1,Not meaningful at all,Strong Democrat,Extremely liberal,0.7
Single_AI_Non_Biased,1440,4,0.09999999999999998,0.9,4,Moderately meaningful,Strong Democrat,Extremely liberal,1
Single_AI_Non_Biased,1440,9,1,1,4,Moderately meaningful,Strong Democrat,Extremely liberal,1
Single_AI_Non_Biased,1440,16,0.5,0.8,4,Moderately meaningful,Strong Democrat,Extremely liberal,0.5
Single_AI_Non_Biased,1443,1,1,0.6,4,Extremely meaningful,Independent,Moderate,0.5
Single_AI_Non_Biased,1443,9,0.9,1,4,Extremely meaningful,Independent,Moderate,1
Single_AI_Non_Biased,1443,16,0.5,1,4,Extremely meaningful,Independent,Moderate,1
Single_AI_Non_Biased,1452,3,0.19999999999999996,0,2,Extremely meaningful,Independent,Moderate,0
Single_AI_Non_Biased,1452,8,0.8,1,2,Extremely meaningful,Independent,Moderate,1
Single_AI_Non_Biased,1452,18,0.8,0.5,2,Extremely meaningful,Independent,Moderate,0.5
Single_AI_Non_Biased,1470,1,0.8,0.6,1,Slightly meaningful,Independent,Moderate,0.7
Single_AI_Non_Biased,1470,7,0.19999999999999996,0.19999999999999996,1,Slightly meaningful,Independent,Moderate,0
Single_AI_Non_Biased,1470,15,0.5,0.5,1,Slightly meaningful,Independent,Moderate,0.5
Single_AI_Non_Biased,1482,4,0.19999999999999996,1,5,Extremely meaningful,Independent,Slightly liberal,1
Single_AI_Non_Biased,1482,7,1,0,5,Extremely meaningful,Independent,Slightly liberal,0
Single_AI_Non_Biased,1482,15,0.5,0,5,Extremely meaningful,Independent,Slightly liberal,0
Single_AI_Non_Biased,1488,1,1,0.8,4,Very meaningful,Independent,Moderate,0.5
Single_AI_Non_Biased,1488,12,0.19999999999999996,0.19999999999999996,4,Very meaningful,Independent,Moderate,0.5
Single_AI_Non_Biased,1488,18,0.7,0.6,4,Very meaningful,Independent,Moderate,0.5
Single_AI_Non_Biased,1503,3,0.7,0,5,Very meaningful,Strong Democrat,Liberal,0
Single_AI_Non_Biased,1503,7,0.19999999999999996,0,5,Very meaningful,Strong Democrat,Liberal,0.0999999999999999
Single_AI_Non_Biased,1503,15,0.5,0.09999999999999998,5,Very meaningful,Strong Democrat,Liberal,0
Single_AI_Non_Biased,1515,3,0.7,0.30000000000000004,3,Moderately meaningful,Independent,Liberal,0
Single_AI_Non_Biased,1515,7,1,1,3,Moderately meaningful,Independent,Liberal,0
Single_AI_Non_Biased,1515,16,0.8,0.9,3,Moderately meaningful,Independent,Liberal,0.5
Single_AI_Non_Biased,1521,3,0.19999999999999996,0.09999999999999998,4,Very meaningful,Strong Democrat,Extremely liberal,0
Single_AI_Non_Biased,1521,9,0.9,1,4,Very meaningful,Strong Democrat,Extremely liberal,1
Single_AI_Non_Biased,1521,15,0.19999999999999996,0.19999999999999996,4,Very meaningful,Strong Democrat,Extremely liberal,0.3
Single_AI_Non_Biased,1524,6,0.19999999999999996,0.9,5,Very meaningful,Somewhat Republican,Slightly liberal,1
Single_AI_Non_Biased,1524,9,0.30000000000000004,1,5,Very meaningful,Somewhat Republican,Slightly liberal,1
Single_AI_Non_Biased,1524,15,0.7,0.09999999999999998,5,Very meaningful,Somewhat Republican,Slightly liberal,0
Single_AI_Non_Biased,1569,5,0.6,0.5,4,Very meaningful,Independent,Slightly conservative,1
Single_AI_Non_Biased,1569,12,0.5,0.09999999999999998,4,Very meaningful,Independent,Slightly conservative,0.5
Single_AI_Non_Biased,1569,13,0.8,1,4,Very meaningful,Independent,Slightly conservative,1
Single_AI_Non_Biased,1587,5,0.5,0.5,5,Very meaningful,Strong Republican,Conservative,1
Single_AI_Non_Biased,1587,11,1,0.09999999999999998,5,Very meaningful,Strong Republican,Conservative,0.3
Single_AI_Non_Biased,1587,13,0.8,0.9,5,Very meaningful,Strong Republican,Conservative,1
Single_AI_Non_Biased,1593,6,0.09999999999999998,0.5,5,Very meaningful,Independent,Moderate,1
Single_AI_Non_Biased,1593,10,0.8,1,5,Very meaningful,Independent,Moderate,0.9
Single_AI_Non_Biased,1593,15,0.5,0.19999999999999996,5,Very meaningful,Independent,Moderate,0
Single_AI_Non_Biased,1596,4,0,0.30000000000000004,4,Extremely meaningful,Strong Democrat,Liberal,1
Single_AI_Non_Biased,1596,7,0.5,0.09999999999999998,4,Extremely meaningful,Strong Democrat,Liberal,0
Single_AI_Non_Biased,1596,14,1,0.9,4,Extremely meaningful,Strong Democrat,Liberal,1
Single_AI_Non_Biased,1605,3,0.7,0,5,Extremely meaningful,Strong Democrat,Extremely liberal,1
Single_AI_Non_Biased,1605,8,0.8,1,5,Extremely meaningful,Strong Democrat,Extremely liberal,1
Single_AI_Non_Biased,1605,17,0.5,0.5,5,Extremely meaningful,Strong Democrat,Extremely liberal,0.5
Single_AI_Non_Biased,1614,3,0.5,0.19999999999999996,3,Moderately meaningful,Strong Republican,Extremely conservative,0
Single_AI_Non_Biased,1614,10,1,1,3,Moderately meaningful,Strong Republican,Extremely conservative,0
Single_AI_Non_Biased,1614,18,1,0.7,3,Moderately meaningful,Strong Republican,Extremely conservative,0.5
Single_AI_Non_Biased,1617,6,0.09999999999999998,0.8,5,Very meaningful,Somewhat Republican,Conservative,1
Single_AI_Non_Biased,1617,7,0.6,0.4,5,Very meaningful,Somewhat Republican,Conservative,0
Single_AI_Non_Biased,1617,17,0.5,0.6,5,Very meaningful,Somewhat Republican,Conservative,0.5
Single_AI_Non_Biased,1623,2,0.5,0.7,3,Moderately meaningful,Independent,Slightly conservative,1
Single_AI_Non_Biased,1623,11,1,1,3,Moderately meaningful,Independent,Slightly conservative,0.5
Single_AI_Non_Biased,1623,15,0.5,1,3,Moderately meaningful,Independent,Slightly conservative,0.5
Single_AI_Non_Biased,1638,4,0.5,0.5,3,Moderately meaningful,Independent,Moderate,1
Single_AI_Non_Biased,1638,11,0,0,3,Moderately meaningful,Independent,Moderate,0.1999999999999999
Single_AI_Non_Biased,1638,15,0.8,0.8,3,Moderately meaningful,Independent,Moderate,0
Single_AI_Non_Biased,1674,3,0.9,0,3,Moderately meaningful,Strong Republican,Extremely conservative,0
Single_AI_Non_Biased,1674,7,1,1,3,Moderately meaningful,Strong Republican,Extremely conservative,0.0999999999999999
Single_AI_Non_Biased,1674,17,1,1,3,Moderately meaningful,Strong Republican,Extremely conservative,0.5
Single_AI_Non_Biased,1683,3,0.30000000000000004,0.09999999999999998,5,Extremely meaningful,Independent,Liberal,0
Single_AI_Non_Biased,1683,9,0.8,1,5,Extremely meaningful,Independent,Liberal,1
Single_AI_Non_Biased,1683,14,0.19999999999999996,0.8,5,Extremely meaningful,Independent,Liberal,1
Single_AI_Non_Biased,1707,2,0.5,0.5,1,Not meaningful at all,Independent,Moderate,1
